company,rank,source,job_type
Public Service Enterprise Group,308,,
Eastman Chemical,309,,
eBay,310,,
Mohawk Industries,311,,
Oneok,312,,
Frontier Communications,313,,
Netflix,314,,
American Family Insurance Group,315,,
Thrivent Financial for Lutherans,316,,
Expedia,317,,
Lithia Motors,318,,
Avis Budget Group,319,,
Reliance Steel & Aluminum,320,,
GameStop,321,,
Tenneco,322,,
O'Reilly Automotive,323,,
Peter Kiewit Sons',324,,
United Natural Foods,325,,
salesforce.com,326,,
Boston Scientific,327,,
Newmont Mining,328,,
Genworth Financial,329,,
Live Nation Entertainment,330,,
Veritiv,331,,
News Corp.,332,,
Crown Holdings,333,,
Global Partners,334,,
PVH,335,,
Level 3 Communications,336,,
Navistar International,337,,
Univar,338,,
Campbell Soup,339,,
Dick's Sporting Goods,340,,
Weyerhaeuser,341,,
Mutual of Omaha Insurance,342,,
Chesapeake Energy,343,,
Anadarko Petroleum,344,,
Interpublic Group,345,,
J.M. Smucker,346,,
Steel Dynamics,347,,
Foot Locker,348,,
Western Refining,349,,
SpartanNash,350,,
Dean Foods,351,,
Zimmer Biomet Holdings,352,,
PulteGroup,353,,
W.R. Berkley,354,,
Quanta Services,355,,
EOG Resources,356,,
Charles Schwab,357,,
Eversource Energy,358,,
Anixter International,359,,
EMCOR Group,360,,
Assurant,361,,
CenterPoint Energy,362,,
Harris,363,,
HD Supply Holdings,364,,
PPL,365,,
Quest Diagnostics,366,,
Williams,367,,
WEC Energy Group,368,,
Hershey,369,,
AGCO,370,,
Ralph Lauren,371,,
Masco,372,,
WESCO International,373,,
LifePoint Health,374,,
National Oilwell Varco,375,,
Kindred Healthcare,376,,
Mosaic,377,,
Alliance Data Systems,378,,
Computer Sciences,379,,
Huntington Ingalls Industries,380,,
Leidos Holdings,381,,
Erie Insurance Group,382,,
Tesla,383,,
Ascena Retail Group,384,,
Darden Restaurants,385,,
Harman International Industries,386,,
Nvidia,387,,
R.R. Donnelley & Sons,388,,
Fifth Third Bancorp,389,,
Quintiles IMS Holdings,390,,
Jones Lang LaSalle,391,,
Dover,392,,
Spirit AeroSystems Holdings,393,,
Ryder System,394,,
A-Mark Precious Metals,395,,
Tractor Supply,396,,
Sealed Air,397,,
Auto-Owners Insurance,398,,
Yum China Holdings,399,,
Calpine,400,,
Owens-Illinois,401,,
Targa Resources,402,,
JetBlue Airways,403,,
Jones Financial (Edward Jones),404,,
Franklin Resources,405,,
Activision Blizzard,406,,
J.B. Hunt Transport Services,407,,
Constellation Brands,408,,
NCR,409,,
Asbury Automotive Group,410,,
American Financial Group,411,,
Discovery Communications,412,,
Berry Global Group,413,,
Sanmina,414,,
CalAtlantic Group,415,,
Dr Pepper Snapple Group,416,,
Dillard's,417,,
HRG Group,418,,
CMS Energy,419,,
Graybar Electric,420,,
Builders FirstSource,421,,
Yum Brands,422,,
Casey's General Stores,423,,
Amphenol,424,,
Oshkosh,425,,
iHeartMedia,426,,
TreeHouse Foods,427,,
Alleghany,428,,
Expeditors International of Washington,429,,
Avery Dennison,430,,
Ameren,431,,
Hanesbrands,432,,
Motorola Solutions,433,,
St. Jude Medical,434,,
Harley-Davidson,435,,
Regions Financial,436,,
Intercontinental Exchange,437,,
Alaska Air Group,438,,
Old Republic International,439,,
Lam Research,440,,
AK Steel Holding,441,,
Rockwell Automation,442,,
Adobe Systems,443,,
Avon Products,444,,
Terex,445,,
NVR,446,,
Dana,447,,
Realogy Holdings,448,,
American Tower,449,,
Packaging Corp. of America,450,,
Citizens Financial Group,451,,
United Rentals,452,,
Clorox,453,,
Genesis Healthcare,454,,
M&T Bank Corp.,455,,
Ingredion,456,,
UGI,457,,
Owens Corning,458,,
S&P Global,459,,
Markel,460,,
Wyndham Worldwide,461,,
Arthur J. Gallagher,462,,
Burlington Stores,463,,
First American Financial,464,,
Symantec,465,,
Patterson,466,,
Olin,467,,
NetApp,468,,
Raymond James Financial,469,,
TravelCenters of America,470,,
Fiserv,471,,
Host Hotels & Resorts,472,,
Insight Enterprises,473,,
Mattel,474,,
AmTrust Financial Services,475,,
Cincinnati Financial,476,,
Simon Property Group,477,,
Western Union,478,,
KeyCorp,479,,
Delek US Holdings,480,,
Booz Allen Hamilton Holding,481,,
Chemours,482,,
Western & Southern Financial Group,483,,
Celanese,484,,
Windstream Holdings,485,,
Seaboard,486,,
Essendant,487,,
Apache,488,,
Airgas,489,,
Kelly Services,490,,
Liberty Media,491,,
Rockwell Collins,492,,
Robert Half International,493,,
CH2M Hill,494,,
Big Lots,495,,
Michaels Cos.,496,,
Toll Brothers,497,,
Yahoo,498,,
Vistra Energy,499,,
