rank,company
377,Mosaic
378,Alliance Data Systems
379,Computer Sciences
380,Huntington Ingalls Industries
381,Leidos Holdings
382,Erie Insurance Group
383,Tesla
384,Ascena Retail Group
385,Darden Restaurants
386,Harman International Industries
387,Nvidia
388,R.R. Donnelley & Sons
389,Fifth Third Bancorp
390,Quintiles IMS Holdings
391,Jones Lang LaSalle
392,Dover
393,Spirit AeroSystems Holdings
394,Ryder System
395,A-Mark Precious Metals
396,Tractor Supply
397,Sealed Air
398,Auto-Owners Insurance
399,Yum China Holdings
400,Calpine
401,Owens-Illinois
402,Targa Resources
403,JetBlue Airways
404,Jones Financial (Edward Jones)
405,Franklin Resources
406,Activision Blizzard
407,J.B. Hunt Transport Services
408,Constellation Brands
409,NCR
410,Asbury Automotive Group
411,American Financial Group
412,Discovery Communications
413,Berry Global Group
414,Sanmina
415,CalAtlantic Group
416,Dr Pepper Snapple Group
417,Dillard's
418,HRG Group
419,CMS Energy
420,Graybar Electric
421,Builders FirstSource
422,Yum Brands
423,Casey's General Stores
424,Amphenol
425,Oshkosh
426,iHeartMedia
427,TreeHouse Foods
428,Alleghany
429,Expeditors International of Washington
430,Avery Dennison
431,Ameren
432,Hanesbrands
433,Motorola Solutions
434,St. Jude Medical
435,Harley-Davidson
436,Regions Financial
437,Intercontinental Exchange
438,Alaska Air Group
439,Old Republic International
440,Lam Research
441,AK Steel Holding
442,Rockwell Automation
443,Adobe Systems
444,Avon Products
445,Terex
446,NVR
447,Dana
448,Realogy Holdings
449,American Tower
450,Packaging Corp. of America
451,Citizens Financial Group
452,United Rentals
453,Clorox
454,Genesis Healthcare
455,M&T Bank Corp.
456,Ingredion
457,UGI
458,Owens Corning
459,S&P Global
460,Markel
461,Wyndham Worldwide
462,Arthur J. Gallagher
463,Burlington Stores
464,First American Financial
465,Symantec
466,Patterson
467,Olin
468,NetApp
469,Raymond James Financial
470,TravelCenters of America
471,Fiserv
472,Host Hotels & Resorts
473,Insight Enterprises
474,Mattel
475,AmTrust Financial Services
476,Cincinnati Financial
477,Simon Property Group
478,Western Union
479,KeyCorp
480,Delek US Holdings
481,Booz Allen Hamilton Holding
482,Chemours
483,Western & Southern Financial Group
484,Celanese
485,Windstream Holdings
486,Seaboard
487,Essendant
488,Apache
489,Airgas
490,Kelly Services
491,Liberty Media
492,Rockwell Collins
493,Robert Half International
494,CH2M Hill
495,Big Lots
496,Michaels Cos.
497,Toll Brothers
498,Yahoo
499,Vistra Energy
500,ABM Industries
501,Northern Trust
502,MasTec
503,Blackstone Group
504,Telephone & Data Systems
505,Domtar
506,Williams-Sonoma
507,Westlake Chemical
508,Post Holdings
509,Hasbro
510,Juniper Networks
511,Fortune Brands Home & Security
512,Brookdale Senior Living
513,Tutor Perini
514,Navient
515,Neiman Marcus Group
516,Ashland Global Holdings
517,Hanover Insurance Group
518,CommScope Holding
519,Spectra Energy
520,Cintas
521,Zoetis
522,Molson Coors Brewing
523,Regeneron Pharmaceuticals
524,Ulta Beauty
525,Hess
526,Magellan Health
527,Intuit
528,Under Armour
529,RPM International
530,Cerner
531,Sonoco Products
532,Securian Financial Group
533,Peabody Energy
534,YRC Worldwide
535,Commercial Metals
536,Marathon Oil
537,Polaris Industries
538,Envision Healthcare
539,Trinity Industries
540,Thor Industries
541,Caesars Entertainment
542,Levi Strauss
543,FMC Technologies
544,VWR
545,NiSource
546,Coach
547,Brunswick
548,Wynn Resorts
549,Orbital ATK
550,CIT Group
551,Science Applications International
552,Hyatt Hotels
553,McCormick
554,Diplomat Pharmacy
555,Barnes & Noble
556,Electronic Arts
557,FM Global
558,Coty
559,Smart & Final Stores
560,Quad/Graphics
561,Dynegy
562,Graphic Packaging Holding
563,Select Medical Holdings
564,Welltower
565,Advanced Micro Devices
566,USG
567,KBR
568,Bloomin' Brands
569,MDU Resources Group
570,CSRA
571,Laureate Education
572,SCANA
573,T. Rowe Price
574,Watsco
575,Rush Enterprises
576,Agilent Technologies
577,WhiteWave Foods
578,Valspar
579,Total System Services
580,Torchmark
581,Cabela's
582,Beacon Roofing Supply
583,CA
584,LPL Financial Holdings
585,Sprouts Farmers Market
586,Swift Transportation
587,Bemis
588,Tiffany
589,Flowserve
