company,source,job_type_1,job_type_2,job_type_3,job_type_4,job_type_5,job_type_6,job_type_7,job_type_8
Delta Air Lines,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Best Buy,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Honeywell,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Caterpillar,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Liberty Mutual Insurance,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Morgan Stanley,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Massachusetts Mutual Life Insurance,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Goldman Sachs,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Energy Transfer Equity,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
TIAA,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Oracle,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Tyson Foods,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
United Continental,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Allstate,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Publix Super Markets,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
American Express,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
TJX,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Nike,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Exelon,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
General Dynamics,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Rite Aid,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Gilead Sciences,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
CHS,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
3M,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Time Warner,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Charter Communications,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Northwestern Mutual,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Facebook,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Travelers,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Capital One Financial,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Twenty-First Century Fox,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
USAA,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Philip Morris,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Deere,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Kraft Heinz,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Avnet,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Mondelez,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Macy's,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
AbbVie,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
McDonald's,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
DuPont,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Northrop Grumman,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
ConocoPhillips,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Raytheon,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Andeavor,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Arrow Electronics,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Quam,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Progressive,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Duke Energy,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Enterprise Products Partners,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Amgen,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
US Foods Holding,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
US Bancorp,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Aflac,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Sears,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Dollar General,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
AutoNation,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Community Health Systems,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Starbucks,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Eli Lilly,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Paper,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Tenet Healthcare,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Abbott Laboratories,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Dollar Tree,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Whirlpool,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Southwest Airlines,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Emerson Electric,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Staples,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Plains GP,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Penske Automotive,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Union Pacific,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Danaher,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Southern,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Manpower,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Bristol-Myers Squibb,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Altria,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Fluor,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Kohl's,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Lear,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Jabil,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Hartford Financial Services,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Thermo Fisher Scientific,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Kimberly-Clark,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Molina Healthcare,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
PG&E,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Supervalu,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Cummins,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
CenturyLink,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Aecom,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Xerox,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Marriott,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Paccar,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
General Mills,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
PNC Financial Services,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
American Electric Power,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Icahn Enterprises,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Nucor,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
NextEra Energy,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Performance Food,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
PBF Energy,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Halliburton,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
CarMax,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Freeport-McMoRan,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Whole Foods Market,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Bank of New York Mellon,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Gap,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Omn,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Genuine Parts,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
DaVita,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Colgate-Palmolive,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
PPG Industries,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Goodyear Tire & Rubber,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Synchrony Financial,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
DISH Network,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Visa,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Nordstrom,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
INTL FCStone,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
WestRock,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
XPO Logistics,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Aramark,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
CBS,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
AES,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
WellCare Health Plans,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
FirstEnergy,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Conagra Brands,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Synnex,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
CDW,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Textron,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Waste,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Illinois Tool Works,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Office Depot,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Monsanto,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Cognizant Technology Solutions,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Texas Instruments,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Lincoln National,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Newell Brands,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Land O'Lakes,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Marsh & McLennan,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Ecolab,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
C H Robinson Worldwide,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Loews,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
CBRE,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Kinder Morgan,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Kellogg,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Western Digital,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Guardian Life Ins of America,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Ross Stores,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
L Brands,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
JC Penney,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Farmers Insurance Exchange,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Reynolds American,f1000list,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
