cid,list_id,company,position,office,office_state,job_type
c01,nasdaq_DDD,3D Systems,Cloud Software Engineer,San Diego,CA,computer_science
c02,nasdaq_ATEN,A10 Networks,Staff Software Engineer,San Jose,CA,computer_science
c03,nasdaq_ACIW,ACI Worldwide,Sr Software Engineer,Omaha,NE,computer_science
c04,ru_ADT,ADT,Sr Software Engineer,Irving,TX,computer_science
c05,f1000_193,AES,Software Engineer,Colorado Springs,CO,computer_science
c06,f1000_369,AGCO,Software Developer I Job,Tremont,IL,computer_science
c07,ru_AON,AON,Full Stack Software Engineer,Lincolnshire,IL,computer_science
c08,f1000_691,Aaron's,Software Engineer,Kennesaw,GA,computer_science
c09,forbes_48,Acquia,Software Engineer,Boston,MA,computer_science
c10,nasdaq_ATU,Actuant,Sr Software Engineer,Lancaster,PA,computer_science
c11,f1000_678,Acuity Brands,Front End Developer Job,Oakland,CA,computer_science
c12,ru_ADTN,Adtran,Software Engineer,Franklin,MA,computer_science
c13,nasdaq_HIVE,Aerohive Networks,Principal Engineer - Embedded Network Software Development,Milpitas,CA,computer_science
c14,ru_AJRD,Aerojet Rocketdyne,Associate Software Engineer,Canoga Park,CA,computer_science
c15,ru_AVAV,Aerovironment,Software Engineer Sr,Simi Valley,CA,computer_science
c16,nasdaq_AGYS,Agilysys,Software Engineer Lead,Alpharetta,GA,computer_science
c17,cnbc_2,Airbnb,Software Engineer - iOS,San Francisco,CA,computer_science
c18,f1000_488,Airgas,Java Software Developer,Radnor,PA,computer_science
c19,nasdaq_ALRM,Alarm.com,Software Engineer,Redwood City,CA,computer_science
c20,ru_ALLE,Allegion,Software Engineer,Boulder,CO,computer_science
c21,ru_AIMC,Altra Industrial Motion,Sr Programmer Analyst - Web Developer,Radford,VA,computer_science
c22,f1000_474,AmTrust Financial Services,Software Engineer I,Cleveland,OH,computer_science
c23,ru_DOX,Amdocs,Software Engineer,Richardson,TX,computer_science
c24,nasdaq_AMRH,Ameri,Software Engineer,Carlsbad,CA,computer_science
c25,ru_AMH,American Homes 4 Rent,Web Developer,Las Vegas,NV,computer_science
c26,f1000_687,American National Insurance,Web Developer,Glenmont,NY,computer_science
c27,f1000_448,American Tower,Senior Software Engineer,Cary,NC,computer_science
c28,f1000_10,AmerisourceBergen,CRM Senior Full-Stack Engineer,Carrollton,TX,computer_science
c29,f1000_603,Ametek,Software Engineer,Atlanta,GA,computer_science
c30,f1000_423,Amphenol,Embedded Software Engineer,Huntsville,AL,computer_science
c31,nasdaq_ASYS,Amtech Systems,Software Engineer I,Albuquerque,NM,computer_science
c32,ru_AFSI,Amtrust Financial,Software Engineer I,Cleveland,OH,computer_science
c33,f1000_358,Anixter,Hybris Web Developer,Glenview,IL,computer_science
c34,nasdaq_ANSS,Ansys,Software Engineer II,Boulder,CO,computer_science
c35,nasdaq_APY,Apergy,Software Developer,Bakersfield,CA,computer_science
c36,forbes_24,AppDirect,Full Stack Engineer,San Francisco,CA,computer_science
c37,nasdaq_APPN,Appian,Lead Software Engineer,Washington,DC,computer_science
c38,ru_APTI,Apptio,Software Development Engineer II,Bellevue,WA,computer_science
c39,f1000_191,Aramark,Senior Full Stack Engineer - iBuyEfficient,Aliso Viejo,CA,computer_science
c40,ru_ABR,Arbor Realty Trust,Software Engineer,Depew,NY,computer_science
c41,f1000_773,ArcBest,Software Engineer I,Cherryville,NC,computer_science
c42,nasdaq_ANET,Arista Networks,Software Engineer,Santa Clara,CA,computer_science
c43,vault_219,Armanino,Software Engineer,Naperville,IL,computer_science
c44,nasdaq_ARRS,Arris,Software Engineer,Lisle,IL,computer_science
c45,f1000_117,Arrow Electronics,Web Engineer,Cambridge,MA,computer_science
c46,f1000_360,Assurant,Software Engineer,Atlanta,GA,computer_science
c47,nasdaq_ALOT,AstroNova,Senior Software Engineer,Warwick,RI,computer_science
c48,ru_ATRO,Astronics,Software Developer,Lake Zurich,IL,computer_science
c49,nasdaq_ASUR,Asure Software,Software Engineer,Burlington,VT,computer_science
c50,ru_ATHN,Athenahealth,Software Engineer,Austin,TX,computer_science
c51,ru_ATH,Athene,Python Developer III,West Des Moines,IA,computer_science
c52,nasdaq_AEYE,AudioEye,JavaScript Developer,Tucson,AZ,computer_science
c53,cnbc_45,Auris Health,Software Engineer,Redwood City,CA,computer_science
c54,f1000_269,AutoZone,Software Engineer Manager,Elk Grove,CA,computer_science
c55,forbes_38,Automattic,Senior Software Engineer full time fully remote role,Denver,CO,computer_science
c56,f1000_922,AvalonBay Communities,Salesforce Software Engineer,Arlington,VA,computer_science
c57,ru_AVA,Avista,Software Engineer,Platteville,WI,computer_science
c58,nasdaq_ACLS,Axcelis Technologies,Software Engineer III,Beverly,MA,computer_science
c59,f1000_740,B/E Aerospace,Software Engineer,Everett,WA,computer_science
c60,f1000_770,BGC Partners,Software Engineer,Chicago,IL,computer_science
c61,nasdaq_BKTI,BK Technologies,Senior Software Engineer,Melbourne,FL,computer_science
c62,vault_221,BPM,Senior Software Engineer Web API Developer,New York,NY,computer_science
c63,ru_BKU,Bankunited,Back-End Developer,Miami,FL,computer_science
c64,ru_B,Barnes,Software Engineer,Westbury,NY,computer_science
c65,f1000_554,Barnes & Noble,Software Engineer,Westbury,NY,computer_science
c66,f1000_232,Bed Bath & Beyond,Java Microservices Developer,Union,NJ,computer_science
c67,f1000_862,Benchmark Electronics,Software Engineer I,Rochester,MN,computer_science
c68,glassdoor_45,Berkshire,Software Engineer Robotics,Lexington,MA,computer_science
c69,nasdaq_BL,BlackLine,Software Engineer,Woodland Hills,CA,computer_science
c70,nasdaq_BLKB,Blackbaud,Software Engineer,Charleston,SC,computer_science
c71,glassdoor_91,Blizzard Entertainment,Software Engineer - Audio,Irvine,CA,computer_science
c72,glassdoor_23,Bombas,Lead Full Stack Engineer,New York,NY,computer_science
c73,f1000_304,BorgWarner,Senior Software Engineer,Auburn Hills,MI,computer_science
c74,nasdaq_EPAY,Bottomline Technologies,College Hire Program - Associate Software Developer,Portsmouth,NH,computer_science
c75,f1000_893,Boyd Gaming,SENIOR SOFTWARE ENGINEER,Las Vegas,NV,computer_science
c76,forbes_84,Braze,Software Engineer,New York,NY,computer_science
c77,nasdaq_BCOV,Brightcove,Senior Software Engineer,Scottsdale,AZ,computer_science
c78,ru_BRX,Brixmor Property,Web Developer,Philadelphia,PA,computer_science
c79,f1000_511,Brookdale Senior Living,Software Developer,Milwaukee,WI,computer_science
c80,nasdaq_BRKS,Brooks Automation,Software Engineer,Fremont,CA,computer_science
c81,f1000_546,Brunswick,Senior Software Developer,Rosemont,IL,computer_science
c82,ru_BKE,Buckle,IT - Software Developer,Kearney,NE,computer_science
c83,f1000_420,Builders FirstSource,Manager Software Engineering,Dallas,TX,computer_science
c84,f1000_192,CBS,C Software Developer,Irvine,CA,computer_science
c85,f1000_904,CDK Global,Software Engineer I,Seattle,WA,computer_science
c86,f1000_256,CSX,Sr Software Engineer I GIS C NET/PTC,Jacksonville,FL,computer_science
c87,ru_CABO,Cable One,Sr Software Engineer - Java,Scottsdale,AZ,computer_science
c88,f1000_828,Cabot,Senior Software Engineer,Northfield,VT,computer_science
c89,nasdaq_CAMP,CalAmp,Senior Database Administrator - PostrgreSQL - MongoDB,Irvine,CA,computer_science
c90,ru_CALX,Calix,Software Engineer,Minneapolis,MN,computer_science
c91,ru_ELY,Callaway Golf,Principal eCommerce Software Engineer,Carlsbad,CA,computer_science
c92,f1000_647,Camping World,Web Developer,Chicago,IL,computer_science
c93,ru_CRR,Carbo Ceramics,Senior Web Developer,Houston,TX,computer_science
c94,ru_CSII,Cardiovascular Systems,Full Stack Developer,Saint Paul,MN,computer_science
c95,ru_CATM,Cardtronics,Quality Test Automation Software Engineer,Frisco,TX,computer_science
c96,ru_CRCM,Care.com,Software Engineer,Canoga Park,CA,computer_science
c97,f1000_622,Carlisle,C Embedded SR Software Engineer,Dayton,OH,computer_science
c98,f1000_868,Carlyle Group,Associate Vice President - Senior Software Development Engineer,New York,NY,computer_science
c99,nasdaq_CARS,Cars.com,Web Developer - DealerRater - a Cars com company,Boston,MA,computer_science
c100,forbes_87,Carta,Senior Software Engineer,New York,NY,computer_science
c101,nasdaq_CASA,Casa Systems,Software Engineer,Andover,MA,computer_science
c102,nasdaq_CSLT,Castlight Health,Senior Software Engineer - Provider Data Team,Sunnyvale,CA,computer_science
c103,f1000_73,Caterpillar,Software Engineer,Deerfield,IL,computer_science
c104,ru_CSFL,Centerstate Bank,Internal Software Developer,Winter Haven,FL,computer_science
c105,nasdaq_CHKP,Check Point Software Technologies,Software Engineer,San Carlos,CA,computer_science
c106,ru_CHGG,Chegg,Senior Software Engineer,Santa Clara,CA,computer_science
c107,f1000_342,Chesapeake Energy,Software Developer II,Oklahoma City,OK,computer_science
c108,f1000_813,Chico's FAS,Senior Developer - NoSQL,Fort Myers,FL,computer_science
c109,f1000_787,Ciena,Software Engineer,Austin,TX,computer_science
