cid,list_id,company,position,office,office_state,job_type,file_rank
c0478,ru_ARGO,Argo Group,Business Analyst,San Antonio,TX,mba_analyst,2
c0479,ru_AROC,Archrock,Operations Analyst,Greeley,CO,mba_finance,2
c0480,ru_ARRY,Array Biopharma,Research Associate / Associate Scientist - Medicinal Chemistry,Boulder,CO,data_science,2
c0481,ru_ASMB,Assembly Biosciences,Senior Bioinformatics Scientist,South San Francisco,CA,data_science,2
c0482,ru_ATKR,Atkore,QA Analyst I,Thomasville,GA,mba_analyst,2
c0483,ru_ATRA,Atara Biotherapeutics,Scientist - Analytical Sciences,Thousand Oaks,CA,data_science,2
c0484,ru_ATRO,Astronics,Software Engineer,East Aurora,NY,computer_science,2
c0485,ru_ATRS,Antares Pharma,Cost & Financial Analyst,Ewing,NJ,mba_finance,2
c0486,ru_B,Barnes,IT Security Analyst,Westbury,NY,mba_analyst,2
c0487,ru_BANR,Banner,Fund Development Program Manager,Phoenix,AZ,mba,2
c0488,ru_BAS,Basic Energy Services,Field Application Analyst/Technician,Fort Worth,TX,mba_analyst,2
c0489,ru_BCO,Brinks,Senior Process Development Analyst,Farmers Branch,TX,mba_analyst,2
c0490,ru_BEL,Belmond,Financial Controller,Santa Barbara,CA,mba_finance,2
c0491,ru_BHF,Brighthouse Financial,Associate Compliance Analyst,Charlotte,NC,mba_finance,2
c0492,ru_BKH,Black Hills,Digital Banking Analyst,Rapid City,SD,mba_analyst,2
c0493,ru_BLD,Topbuild,Operations Finance Manager,Daytona Beach,FL,mba_finance,2
c0494,ru_BMRC,Bank of Marin Bank,Credit Analyst - Senior,Santa Rosa,CA,mba_finance,2
c0495,ru_BOH,Bank of Hawaii,Dispute Analyst,Honolulu,HI,mba_finance,2
c0496,ru_BOJA,Bojangles,Data Scientist,Charlotte,NC,data_science,2
c0497,ru_BOLD,Audentes Therapeutics,Scientist I-II - Bioanalytics,South San Francisco,CA,data_science,2
c0498,ru_BPMC,Blueprint Medicines,Senior Product Manager - Marketing,Cambridge,MA,mba,2
c0499,ru_BRC,Brady,Global Product Manager,Milwaukee,WI,mba,2
c0500,ru_BRO,Brown & Brown,Senior Benefits Analyst,Maitland,FL,mba_analyst,2
c0501,ru_BRX,Brixmor Property,Business Intelligence Developer/Data Scientist,Philadelphia,PA,data_science,2
c0502,ru_BUSE,First Busey,Credit Analyst,Creve Coeur,MO,mba_finance,2
c0503,ru_BXG,Bluegreen Vacations,Senior Business Analyst,Boca Raton,FL,mba_finance,2
c0504,ru_CADE,Cadence Bank,Loan Operations Analyst,Houston,TX,mba_finance,2
c0505,ru_CALX,Calix,Staff or Principal Software Engineer in Test,Petaluma,CA,computer_science,2
c0506,ru_CAR,Avis Budget,Product Manager,Parsippany,NJ,mba,2
c0507,ru_CATM,Cardtronics,Sr Global Product Manager - Software,Frisco,TX,mba,2
c0508,ru_CBM,Cambrex,Data Review Scientist,Charles City,IA,data_science,2
c0509,ru_CBMG,Cellular Biomedicine,Research Associate/Scientist,Gaithersburg,MD,data_science,2
c0510,ru_CBRE,Cbre,Sr Software & Data Engineer,Dallas,TX,data_science,2
c0511,ru_CCL,Carnival,Senior Financial Analyst,Miami,FL,mba_finance,2
c0512,ru_CCS,Century Communities,Land Development Project Manager,Greenwood Village,CO,mba,2
c0513,ru_CDE,Coeur Mining,Manager - Financial Reporting,Chicago,IL,mba_finance,2
c0514,ru_CECO,Career Education,Grants Analyst,Little Rock,AR,mba_finance,2
