cid,list_id,company,position,office,office_state,job_type,file_rank
c0708,ru_RCL,Royal Caribbean Cruises,Lead - Data Scientist,Miami,FL,data_science,2
c0709,ru_RDFN,Redfin,Senior Financial Analyst,Seattle,WA,mba_finance,2
c0710,ru_RDI,Reading,Medical Lab Scientist,West Reading,PA,data_science,2
c0711,ru_RDN,Radian,Senior Security Compliance Analyst,Philadelphia,PA,mba_finance,2
c0712,ru_RE,Everest Re,Software Developer,Liberty Corner,NJ,computer_science,2
c0713,ru_REVG,REV,Benefits Analyst,Brookfield,WI,mba_finance,2
c0714,ru_RGR,Sturm Ruger & Company,Project Manager MGD,Mayodan,NC,mba,2
c0715,ru_RIG,Transocean,Contracts & Proposals Analyst,Houston,TX,mba_finance,2
c0716,ru_RLI,RLI,Senior Business Analyst,Peoria,IL,mba_finance,2
c0717,ru_RMAX,Re/Max,Jr Accountant / Jr Analyst,Arvada,CO,mba_finance,2
c0718,ru_ROG,Rogers,IT Internal Controls Analyst II,Chandler,AZ,mba_finance,2
c0719,ru_ROL,Rollins,Program Manager,Winter Park,FL,mba,2
c0720,ru_RTEC,Rudolph Technologies,Senior C Software Developer,Snoqualmie,WA,computer_science,2
c0721,ru_S,Sprint,Data Scientist III,Overland Park,KS,data_science,2
c0722,ru_SAFT,Safety Insurance,Associate Business Systems Analyst,Boston,MA,mba_finance,2
c0723,ru_SBNY,Signature Bank,Director of the Project Management Office - VP,New York,NY,mba,2
c0724,ru_SITE,Siteone Landscape Supply,Area Business Manager,Tampa,FL,mba,2
c0725,ru_SLB,Schlumberger,DATA SCIENTIST,Houston,TX,data_science,2
c0726,ru_SMMF,Summit Financial,Financial Planning Analyst,Parsippany,NJ,mba_finance,2
c0727,ru_SNBR,Sleep Number,Data Scientist,San Jose,CA,data_science,2
c0728,ru_SNDR,Schneider National,Business Systems & Reporting Analyst - Payroll,Green Bay,WI,mba_finance,2
c0729,ru_SONC,Sonic,Finance Manager,Houston,TX,mba_finance,2
c0730,ru_SP,Sp Plus,Manager - Product Management,Nashville,TN,mba,2
c0731,ru_SPG,Simon Property,Leasing Support Analyst,Indianapolis,IN,mba_finance,2
c0732,ru_SPOK,Spok,Software Engineering Manager,Eden Prairie,MN,computer_science,2
c0733,ru_SREV,Servicesource,Project Manager - Operations,Washington,DC,mba,2
c0734,ru_SRNE,Sorrento Therapeutics,Sr Scientist / Scientist,San Diego,CA,data_science,2
c0735,ru_SRPT,Sarepta Therapeutics,Project Manager - Alliance Management,Cambridge,MA,mba,2
c0736,ru_STE,Steris,Project Manager,Mentor,OH,mba,2
c0737,ru_STL,Sterling Bank,Compliance Analyst,Southfield,MI,mba_finance,2
c0738,ru_SURF,Surface Oncology,Manager - Financial Planning & Analysis,Cambridge,MA,mba_finance,2
c0739,ru_TBBK,Bancorp,Marketing Research & Business Development Analyst,Washington,DC,data_science,2
c0740,ru_TCS,The Container Store,Web Analyst,Coppell,TX,mba_analyst,2
c0741,ru_TECH,Bio-Techne,Advanced Research Associate - Enzymes,Minneapolis,MN,data_science,2
c0742,ru_TGI,Triumph,Process Development Software Engineer,Dallas,TX,computer_science,2
c0743,ru_THFF,First Financial,Software Engineer,Houston,TX,computer_science,2
c0744,ru_THG,Hanover Insurance,Sr Information Security Analyst,Worcester,MA,mba_analyst,2
c0745,ru_THRM,Gentherm,Senior Research Scientist,Northville,MI,data_science,2
c0746,ru_TISI,Team,Software Engineer,Farmington Hills,MI,computer_science,2
c0747,ru_TMST,Timkensteel,Sr Process Metallurgical QA Analyst Job,Canton,OH,mba_analyst,2
c0748,ru_TNAV,Telenav,Project Manager - Temporary,Santa Clara,CA,mba,2
c0749,ru_TNC,Tennant,Experienced Supply Chain Analyst Supervisor,Holland,MI,mba_finance,2
c0750,ru_TNDM,Tandem Diabetes Care,Embedded Software Engineer,San Diego,CA,computer_science,2
c0751,ru_TNET,Trinet,Sr Software Engineer,Fort Mill,SC,computer_science,2
c0752,ru_TRHC,Tabula Rasa Healthcare,Data Scientist,Moorestown,NJ,data_science,2
c0753,ru_TRMK,Trustmark,Wealth Management Relationship & Business Manager,Jackson,MS,mba,2
c0754,ru_TRTN,Triton,Python Developer Needed,Torrance,CA,computer_science,2
c0755,ru_TTOO,T2 Biosystems,Senior Software Engineer,Lexington,MA,computer_science,2
c0756,ru_TWNK,Hostess Brands,IT Warehouse Business Analyst,Kansas City,MO,mba_finance,2
c0757,ru_UDR,UDR,Computer Systems Analyst,Highlands Ranch,CO,mba_analyst,2
c0758,ru_UFCS,United Fire,Sr Data Engineer,Cedar Rapids,IA,data_science,2
c0759,ru_UMBF,Umb Financial,Info Security Risk Analyst Sr,Kansas City,MO,mba_finance,2
c0760,ru_UMRX,Unum Therapeutics,Scientist II/Senior Scientist - Translational Medicine,Cambridge,MA,data_science,2
c0761,ru_UNH,Unitedhealth,Data Scientist,San Juan,PR,data_science,2
c0762,ru_UNM,Unum,Scientist II/Senior Scientist - Translational Medicine,Cambridge,MA,data_science,2
c0763,ru_UNT,Unit,Clinical Research Coordinator,Denver,CO,data_science,2
c0764,ru_UPL,Ultra Petroleum,Operations Analyst,Englewood,CO,mba_analyst,2
c0765,ru_USNA,Usana Health Sciences,Senior IT Project Manager,Salt Lake City,UT,mba,2
c0766,ru_UTHR,United Therapeutics,Associate Scientist/Scientist - Tissue Engineering,Research Triangle Park,NC,data_science,2
c0767,ru_VCRA,Vocera Communications,Reporting and Accounting Analyst,San Jose,CA,mba_finance,2
c0768,ru_VEC,Vectrus,SQL Engineer,Wichita,KS,computer_science,2
c0769,ru_VG,Vonage,Manager SDET - Software Eng in Test,San Francisco,CA,computer_science,2
c0770,ru_VGR,Vector,Java Software Developer,Cincinnati,OH,computer_science,2
c0771,ru_VICI,Vici Properties,Senior Finance Analyst,Las Vegas,NV,mba_finance,2
c0772,ru_VREX,Varex Imaging,Project Manager,Las Vegas,NV,mba,2
c0773,ru_VRTX,Vertex Pharmaceuticals,Scientist Formulation Development,Boston,MA,data_science,2
c0774,ru_VSEC,VSE,Program Manager,Albany,GA,mba,2
c0775,ru_WAB,Wabtec,SQL Server Database Administrator,Wilmerding,PA,computer_science,2
c0776,ru_WAGE,Wageworks,Software Engineer,Irving,TX,computer_science,2
c0777,ru_WAIR,Wesco Aircraft,Project Manager II,Roanoke,TX,mba,2
c0778,ru_WCG,Wellcare,Data Scientist - Sr,Tampa,FL,data_science,2
c0779,ru_WDR,Waddell and Reed,Compliance Analyst - Compliance Policy,Overland Park,KS,mba_finance,2
c0780,ru_WEC,Wec Energy,IT Applications Analyst,Milwaukee,WI,mba_analyst,2
c0781,ru_WH,Wyndham Hotels & Resorts,Senior Director - FP&A,Parsippany,NJ,mba_finance,2
c0782,ru_WING,Wingstop,Financial Analyst,Dallas,TX,mba_finance,2
c0783,ru_WLDN,Willdan,Energy Project Manager,Charlotte,NC,mba,2
c0784,ru_WMB,Williams Companies,Liaison Project Manager,Wysox,PA,mba,2
c0785,ru_WRLD,World Acceptance,Jr Software Developer,Greenville,SC,computer_science,2
c0786,ru_WST,West Pharmaceutical,Project Manager - I&T,Scottsdale,AZ,mba,2
c0787,ru_WTTR,Select Energy Services,Business Analyst,Houston,TX,mba_finance,2
c0788,ru_WTW,Weight Watchers,Director of Data Engineering,New York,NY,data_science,2
c0789,ru_WYND,Wyndham Destinations,Procurement Accounts Payable Analyst,Orlando,FL,mba_finance,2
c0790,ru_XL,XL,Principal Scientist - Data Science & Engineering,Hartford,CT,data_science,2
c0791,ru_ZAYO,Zayo,OSP Project Manager,Linden,NJ,mba,2
c0792,ru_ZG,Zillow,Data Scientist - Zillow Offers,Seattle,WA,data_science,2
c0793,vault_111,KPMG,Sr Associate - Data Scientist,Dallas,TX,data_science,2
c0794,vault_118,Analysis Group,STUDY LEAD IMAGING CLINICAL RESEARCH,Philadelphia,PA,data_science,2
c0795,vault_13,Cleary Gottlieb Steen & Hamilton,HRIS Analyst,New York,NY,mba_finance,2
c0796,vault_138,The Chartis Group,Data Analyst,Chicago,IL,quant,2
c0797,vault_149,Vivaldi,Brand Analyst,New York,NY,mba_finance,2
c0798,vault_161,Lazard,Senior Business Analyst,New York,NY,mba_finance,2
c0799,vault_166,Cowen,Equity Research Associate,New York,NY,quant,2
c0800,vault_181,Macquarie Group,Credit Risk - Analyst,Houston,TX,mba_finance,2
c0801,vault_184,Oppenheimer & Co,Research Associate - Emerging Technology & Services,New York,NY,quant,2
c0802,vault_19,WilmerHale,Financial Analyst,Dayton,OH,mba_finance,2
c0803,vault_20,Ropes & Gray,Legal Project Manager,New York,NY,mba,2
c0804,vault_203,Deloitte,Finance Manager,Chicago,IL,mba_finance,2
c0805,vault_205,Grant Thornton,Analyst,Washington,DC,mba_finance,2
c0806,vault_208,Crowe,Healthcare Finance Consulting Manager,Chicago,IL,mba_finance,2
c0807,vault_210,Moss Adams,Outsourced Finance & Accounting Specialist,Tacoma,WA,mba_finance,2
c0808,vault_212,Dixon Hughes Goodman,SENIOR ANALYST - INVESTMENT BANKING,High Point,NC,mba_finance,2
c0809,vault_224,Sikich,Financial Planning & Analysis Analyst,Naperville,IL,mba_finance,2
c0810,vault_232,BKD,Transaction Advisory Services/Financial Due Diligence - Senior Manager,Indianapolis,IN,mba_finance,2
c0811,vault_245,Novogradac & Company,Junior Analyst,St. Louis,MO,mba_analyst,2
c0812,vault_249,Weaver,Septic & Excavation Project Management,Monte Vista,CO,mba,2
c0813,vault_30,Baker McKenzie,Legal Project Manager Lead,Tampa,FL,mba,2
c0814,vault_32,DLA Piper,Associate - NYC Leveraged Finance,New York,NY,mba_finance,2
c0815,vault_33,K&L Gates,Sr Desktop Support Analyst,San Francisco,CA,mba_finance,2
c0816,vault_38,Wilson Sonsini Goodrich & Rosati,Financial Analyst,Palo Alto,CA,mba_finance,2
c0817,vault_4,Latham & Watkins,Conflicts Reporting Analyst,Los Angeles,CA,mba_finance,2
c0818,vault_46,Winston & Strawn,Litigation Support Sr Project Manager,Washington,DC,mba,2
c0819,vault_48,Fried Frank Harris Shriver & Jacobson,Financial Systems Analyst,New York,NY,mba_finance,2
c0820,vault_80,Hunton Andrews Kurth,Structured Finance and Securitization Associate,New York,NY,mba_finance,2
c0821,vault_81,Katten Muchin Rosenman,Strategic Pricing Analyst,Washington,DC,mba_finance,2
c0822,vault_83,Seyfarth Shaw,Labor & Employment Associate - Organizational Strategy and Analytics Group,Chicago,IL,mba_analyst,2
c0823,vault_84,Pepper Hamilton,Senior Research Librarian,Philadelphia,PA,data_science,2
c0824,vault_85,Hughes Hubbard & Reed,Practice Support Project Manager,New York,NY,mba,2
c0825,vault_87,Fox Rothschild,E-Discovery Tech Project Manager,Philadelphia,PA,mba,2
c0826,vault_90,Drinker Biddle & Reath,Information Governance Analyst,Philadelphia,PA,mba_analyst,2
c0827,vault_91,Blank Rome,Practice Technology Project Manager,Los Angeles,CA,mba,2
c0828,vault_96,Ballard Spahr,Senior Financial Analyst,Philadelphia,PA,mba_finance,2
c0839,cnbc_36,Thinx,Financial Analyst,New York,NY,mba_finance,3
c0892,f1000_170,Performance Food Group,Accounts Payable Analyst - Customer Service,Denver,CO,mba_finance,3
c0893,f1000_171,PBF Energy,Sr Business Solutions Analyst - Finance,Parsippany,NJ,mba_finance,3
c0896,f1000_178,Omnicom Group,Senior Project Manager,Chicago,IL,mba,3
c0911,f1000_205,Texas Instruments,Software Engineer,Dallas,TX,computer_science,3
c0926,f1000_236,NGL Energy Partners,Shared Services Analyst,Denver,CO,mba_finance,3
c0933,f1000_246,Core-Mark,Financial Analyst - Sales & Marketing,Westlake,TX,mba_finance,3
c0948,f1000_278,United States Steel,Project Manager,Granite City,IL,mba,3
c0962,f1000_318,Avis Budget Group,Decision Scientist,Parsippany,NJ,data_science,3
c0967,f1000_333,Global Partners,Sr HRIS Analyst - Workday,Waltham,MA,mba_analyst,3
c0973,f1000_343,Anadarko Petroleum,Analytics and Data Science Supervisor - DJ Basin Subsurface & Technology,Denver,CO,data_science,3
c0988,f1000_371,Masco,Treasury services Analyst,Livonia,MI,mba_finance,3
c0990,f1000_373,LifePoint Health,Senior Business Intelligence Architect,Brentwood,TN,mba_analyst,3
c1018,f1000_438,Old Republic,Senior Programmer/Analyst,Brookfield,WI,mba_analyst,3
c1021,f1000_443,Avon Products,Toxicology Analyst/Clinical Scientist 1,Suffern,NY,data_science,3
c1028,f1000_456,UGI,Analyst II-Finance,Denver,PA,mba_finance,3
c1045,f1000_484,Windstream,Software Engineer I,Rochester,NY,computer_science,3
c1052,f1000_500,Northern Trust,Business Analyst,Chicago,IL,mba_finance,3
c1057,f1000_512,Tutor Perini,HVAC Project Managers,Mount Vernon,NY,mba,3
c1069,f1000_537,Envision Healthcare,VP IT Financial Ops,Nashville,TN,mba_finance,3
c1075,f1000_562,Select Medical,Clinical Research Scientist,Mechanicsburg,PA,data_science,3
c1077,f1000_565,USG,IT - Business Analyst,Chicago,IL,mba_finance,3
c1084,f1000_585,Swift Transportation,TRANSPORTATION ANALYST - MA,East Longmeadow,MA,mba_analyst,3
c1087,f1000_593,Flowers Foods,Reporting and Analytics Analyst,Thomasville,GA,mba_finance,3
c1098,f1000_613,Dentsply Sirona,Sales Operations Manager - - NC,Charlotte,NC,mba_analyst,3
c1106,f1000_628,Silgan,Project Manager II - Engineering,Breinigsville,PA,mba,3
c1112,f1000_646,ScanSource,Supplier Business Manager II,Greenville,SC,mba,3
c1122,f1000_669,Atmos Energy,Sr IT Project Manager,Dallas,TX,mba,3
c1134,f1000_695,Regal Entertainment Group,Project Manager - Theatre Maintenance & Repairs,Knoxville,TN,mba,3
c1147,f1000_722,Fossil Group,Connected Devices - Software Product Manager,Burlingame,CA,mba,3
c1148,f1000_725,MRC Global,Onsite Project Manager,Grand Prairie,TX,mba,3
c1152,f1000_740,B/E Aerospace,Program Manager,Bohemia,NY,mba,3
c1153,f1000_742,Cooper Tire & Rubber,Software Developer,Findlay,OH,computer_science,3
c1163,f1000_768,Sinclair Broadcast Group,Senior Software Development Engineer,Seattle,WA,computer_science,3
c1166,f1000_773,ArcBest,Compensation Analyst,Fort Smith,AR,mba_analyst,3
c1167,f1000_785,Verso,Logistics Analyst,Miamisburg,OH,mba_analyst,3
c1173,f1000_797,HCP,Manager - Financial Planning & Analysis,Irvine,CA,mba_finance,3
c1181,f1000_810,A. Schulman,Business Analyst,Akron,OH,mba_finance,3
c1182,f1000_817,Tops,Consumer Insights Analyst,Williamsville,NY,mba_analyst,3
c1189,f1000_829,ITT,Aerospace and Defense Product Manager,Orchard Park,NY,mba,3
c1198,f1000_856,MDC,Financial Coordinator,New York,NY,mba_finance,3
c1204,f1000_864,Selective Insurance Group,Insurance Operations Analyst,Branchville,NJ,mba_finance,3
c1219,f1000_895,Tribune Media,Digital Project Manager,Minneapolis,MN,mba,3
c1222,f1000_899,Teledyne Technologies,Senior Benefits Analyst,Thousand Oaks,CA,mba_finance,3
c1228,f1000_924,Consol Energy,Oracle OTBI Reporting Analyst,Canonsburg,PA,mba_finance,3
c1242,f1000_967,Finish Line,Construction Project Manager,Indianapolis,IN,mba,3
c1244,f1000_971,Murphy Oil,Sr Financial Analyst,Houston,TX,mba_finance,3
c1246,f1000_973,Par Pacific,Senior Financial Specialist,Kapolei,HI,mba_finance,3
c1254,f1000_985,ResMed,Sales Finance Analyst,San Diego,CA,mba_finance,3
c1258,f1000_997,Kaman,Temporary Technical Project Manager,Bloomfield,CT,mba,3
c1274,forbes_33,Looker,Senior Front-End Engineer - Application Framework,San Francisco Bay Area,CA,computer_science,3
c1278,forbes_39,PointClickCare,Senior Software Engineer,Bloomington,MN,computer_science,3
c1279,forbes_40,Sisense,Product Marketing Program Manager,New York,NY,mba,3
c1287,forbes_52,Segment,Field Marketing Manager - West,San Francisco,CA,mba_analyst,3
c1294,forbes_70,Health Catalyst,NLP Data Scientist,Boston,MA,data_science,3
c1296,forbes_85,Algolia,Head of Product Marketing,San Francisco,CA,mba_analyst,3
c1301,forbes_96,Endgame,Senior Software Engineer,Arlington,VA,computer_science,3
c1303,glassdoor_0,Heap,Software Engineer - Product,San Francisco,CA,computer_science,3
c1308,glassdoor_111,Paycom,Sr Financial Analyst,Oklahoma City,OK,mba_finance,3
c1311,glassdoor_125,Kimpton Hotels & Restaurants,Director of Finance - Goodland,Goleta,CA,mba_finance,3
c1312,glassdoor_13,New Western,Analytics and Reporting - Sr Analyst,Irving,TX,mba_analyst,3
c1316,glassdoor_145,Raising Cane's,Finance Manager,Plano,TX,mba_finance,3
c1320,glassdoor_16,Sundance Vacations,Web/Software Developer,Wilkes-Barre,PA,computer_science,3
c1323,glassdoor_23,Bombas,Analyst - Marketing & Product Analytics,New York,NY,mba_analyst,3
c1325,glassdoor_44,Moogsoft,Project Manager,Boston,MA,mba,3
c1326,glassdoor_48,eXp Realty,Real Estate Agent,Fort Collins,CO,stats,3
c1334,glassdoor_8,Highspot,Senior Product Marketing Manager - Customer Marketing,Seattle,WA,mba,3
c1336,glassdoor_84,Trilogy Health Services,Compensation Analyst,Louisville,KY,mba_finance,3
c1337,glassdoor_88,NIH,Research Scientist,Rockville,MD,data_science,3
c1344,hedge_57,Bracebridge Capital,Quantitative Investment Analyst,Boston,MA,quant,3
c1346,nasdaq_ACIW,ACI Worldwide,Sr Software Engineer,Omaha,NE,computer_science,3
c1352,nasdaq_ANET,Arista Networks,Software Product Manager - EOS,Santa Clara,CA,mba,3
c1359,nasdaq_ATU,Actuant,Compensation Analyst,Menomonee Falls,WI,mba_analyst,3
c1370,nasdaq_CAMP,CalAmp,Senior Program Manager,Eden Prairie,MN,mba,3
c1377,nasdaq_CHKP,Check Point Software Technologies,Software Engineer,San Carlos,CA,computer_science,3
c1378,nasdaq_CISN,Cision,Senior Project Manager,New York,NY,mba,3
c1381,nasdaq_CSIQ,Canadian Solar,Analyst - Asset Management,Walnut Creek,CA,mba_finance,3
c1388,nasdaq_EGAN,eGain,Software Developer - Java,Tampa,FL,computer_science,3
c1397,nasdaq_FORM,FormFactor,Compensation Analyst,Beaverton,OR,mba_finance,3
c1406,nasdaq_IMMR,Immersion,Senior Java Developer,Baltimore,MD,computer_science,3
c1407,nasdaq_INAP,Internap,Sr Finance Manager,Atlanta,GA,mba_finance,3
c1411,nasdaq_LASR,nLIGHT,Sr Financial Analyst,Vancouver,WA,mba_finance,3
c1419,nasdaq_MJCO,Majesco,Project Manager,Columbus,OH,mba,3
c1420,nasdaq_MODN,Model N,Senior Finance Manager FP&A - Revenue,San Mateo,CA,mba_finance,3
c1423,nasdaq_NATI,National Instruments,Software Engineer - Senior - Semiconductor Test Systems,Austin,TX,computer_science,3
c1426,nasdaq_NXGN,NextGen Healthcare,Software Engineer,Atlanta,GA,computer_science,3
c1429,nasdaq_OOMA,Ooma,Business Product Marketing Manager,Sunnyvale,CA,mba,3
c1431,nasdaq_PCTY,Paylocity,Data Engineer,Schaumburg,IL,data_science,3
c1432,nasdaq_PEGA,Pegasystems,Lead SOC Analyst,Reston,VA,mba_analyst,3
c1438,nasdaq_PRGS,Progress Software,Senior Project Manager,Norcross,GA,mba,3
c1440,nasdaq_QADA,QAD,Senior Financial Analyst,Santa Barbara,CA,mba_finance,3
c1442,nasdaq_QRHC,Quest Resource,Accounting Analyst,The Colony,TX,mba_finance,3
c1449,nasdaq_SMTX,SMTC,Program Manager,Fremont,CA,mba,3
c1454,nasdaq_SPXC,SPX,Project Manager,Waukesha,WI,mba,3
c1456,nasdaq_SSYS,Stratasys,Software Engineer,Boston,MA,computer_science,3
c1467,nasdaq_UPWK,Upwork,Senior Data Engineer,Mountain View,CA,data_science,3
c1470,nasdaq_WBT,Welbilt,Product Manager,New Port Richey,FL,mba,3
c1473,nasdaq_WYY,WidePoint,Project Manager,Columbus,OH,mba,3
c1474,nasdaq_XPER,Xperi,Product Manager - Driver Monitoring Systems,Troy,MI,mba,3
c1477,nasdaq_ZIXI,ZIX,Sr Support and Threat Analyst,Ann Arbor,MI,mba_analyst,3
c1483,ru_ADSW,Advanced Disposal,Business Analyst,Ponte Vedra,FL,mba_analyst,3
c1485,ru_ADUS,Addus Homecare,Senior Financial Analyst,Frisco,TX,mba_finance,3
c1486,ru_AERI,Aerie Pharmaceuticals,Sr Associate Scientist,Durham,NC,data_science,3
c1488,ru_AGLE,Aeglea Biotherapeutics,Market Research & Analytics Lead,Austin,TX,data_science,3
c1490,ru_AIR,AAR,Program Manager,Rockford,IL,mba,3
c1493,ru_AKCA,Akcea Therapeutics,Associate Director - Regulatory Program Manager,Cambridge,MA,mba,3
c1494,ru_ALDX,Aldeyra Therapeutics,Clinical Scientist,Lexington,MA,data_science,3
c1495,ru_ALEX,Alexander & Baldwin,Financial Reporting Analyst,Honolulu,HI,mba_finance,3
c1498,ru_AMR,Alta Mesa Resources,Treasury Analyst,Houston,TX,mba_finance,3
c1500,ru_AMRS,Amyris,Program Manager/Executive Assistant,Emeryville,CA,mba,3
c1504,ru_AOBC,American Outdoor Brands,Marketing Analyst,Springfield,MA,mba_finance,3
c1507,ru_ARAY,Accuray,Product Development Program Manager,Madison,WI,mba,3
c1510,ru_ASNA,Ascena Retail,ATG Senior Analyst,Pataskala,OH,mba_analyst,3
c1513,ru_ATHX,Athersys,Associate Scientist - Pharmaceutical/Biotech,Cleveland,OH,data_science,3
c1515,ru_ATNX,Athenex,Clinical Pharmacology Data Scientist,Cranford,NJ,data_science,3
c1523,ru_BDN,Brandywine Realty Trust,Sr Project Manager/ Project Manager,Radnor,PA,mba,3
c1525,ru_BELFB,Bel Fuse,Signal Transformer - Product Manager,Inwood,NY,mba,3
c1526,ru_BKE,Buckle,IT - Software Developer,Kearney,NE,computer_science,3
c1528,ru_BLBD,Blue Bird,IT - Business Analyst Human Resources Information Systems,Macon,GA,mba_analyst,3
c1529,ru_BLCM,Bellicum Pharmaceuticals,Clinical Scientist/ Senior Clinical Scientist,San Francisco,CA,data_science,3
c1534,ru_BRKR,Bruker,Sales Applications Scientist /Tribology ,San Jose,CA,data_science,3
c1538,ru_CARO,Carolina Financial,Initial Disclosures Analyst,Washington,NC,mba_finance,3
c1539,ru_CBZ,Cbiz,Forensic and Financial Services Group Sr Manager,Plymouth Meeting,PA,mba_finance,3
c1541,ru_CCF,Chase,Finance Analyst - Internal Audit,Westwood,MA,mba_finance,3
c1544,ru_CHDN,Churchill Downs,Digital Project Manager,Louisville,KY,mba,3
c1549,ru_CLW,Clearwater Paper,Accountant II - Financial Reporting,Spokane,WA,mba_finance,3
c1550,ru_CLXT,Calyxt,Research Scientist in Trait Analysis,Minneapolis-Saint Paul,MN,data_science,3
c1553,ru_CNSL,Consolidated Communications,Project Manager,Edina,MN,mba,3
c1554,ru_CNX,Cnx Resources,Senior Analyst - IS&T,Canonsburg,PA,mba_finance,3
c1557,ru_COKE,Coca Cola Bottling,Red Classic - Project Manager II,Charlotte,NC,mba,3
c1562,ru_CRVL,Corvel,Senior Software Engineer,Portland,OR,computer_science,3
c1563,ru_CRVS,Corvus Pharmaceuticals,Senior Clinical Project Manager,Burlingame,CA,mba,3
c1565,ru_CSTE,Caesarstone,Oracle ERP Business Applications Analyst,Charlotte,NC,mba_finance,3
c1569,ru_CTRL,Control4,Software Engineer - Test Automation - Network Solutions,Austin,TX,computer_science,3
c1573,ru_CVON,Convergeone,Desk Project Manager,Atlanta,GA,mba,3
c1574,ru_CWBR,Cohbar,Scientist/Senior Scientist Drug Discovery,Menlo Park,CA,data_science,3
c1577,ru_DOOR,Masonite,Product Manager,Tampa,FL,mba,3
c1579,ru_DOVA,Dova Pharmaceuticals,Sr Territory Business Manager ,Milwaukee,WI,mba,3
c1581,ru_DXPE,Dxp Enterprises,Cost / Operations Analyst,Houston,TX,mba_finance,3
c1582,ru_EAF,Graftech,Sr Tax Analyst,Independence,OH,mba_analyst,3
c1584,ru_EBTC,Enterprise Bank,Commercial Loan Review Analyst,Allison Park,PA,mba_finance,3
c1585,ru_EDIT,Editas Medicine,Scientist/Principal Research Associate Neuroscience,Cambridge,MA,data_science,3
c1587,ru_EGRX,Eagle Pharmaceuticals,Associate Scientist - Analytical Development,Cambridge,MA,data_science,3
c1589,ru_ENSG,Ensign,Sr Health and Welfare Benefit Analyst,Mission Viejo,CA,mba_finance,3
c1596,ru_ETSY,Etsy,Data Scientist - Inference,San Francisco,CA,data_science,3
c1603,ru_FFIN,First Financial Bankshares,Project Manager,Abilene,TX,mba,3
c1606,ru_FIZZ,National Beverage,Jr Financial Analyst,Plantation,FL,mba_finance,3
c1608,ru_FLNT,Fluent,Software Developer,New York,NY,computer_science,3
c1616,ru_FRO,Frontline,Technical Project Manager,Winter Park,FL,mba,3
c1617,ru_FRTA,Forterra,Program Manager - Communications,Seattle,WA,mba,3
c1618,ru_FTSI,FTS,Senior HRIS Analyst,Fort Worth,TX,mba_analyst,3
c1619,ru_FTV,Fortive,Data Science Software Engineer,Pittsburgh,PA,computer_science,3
c1620,ru_FUNC,First United,Program Manager - Inua Partners In Hope,Winter Park,FL,mba,3
c1623,ru_GNTX,Gentex,Product Manager,Rancho Cucamonga,CA,mba,3
c1628,ru_GTLS,Chart Industries,Product Manager,Canton,GA,mba,3
c1634,ru_HEAR,Turtle Beach,Audio Software Engineer,San Diego,CA,computer_science,3
c1635,ru_HEES,H&E Equipment Services,IT Business Analyst,Baton Rouge,LA,mba_finance,3
c1636,ru_HEI.A,Heico,Software Engineering Manager,Hillsboro,OR,computer_science,3
c1637,ru_HIBB,Hibbett Sports,Senior Programmer Analyst - AS400,Birmingham,AL,mba_analyst,3
c1639,ru_HLNE,Hamilton Lane,Analyst - Client Services,Philadelphia,PA,mba_finance,3
c1640,ru_HOG,Harley Davidson,Finance Manager,Colorado Springs,CO,mba_finance,3
c1642,ru_HR,Healthcare Realty Trust,Regional Project Manager,Seattle,WA,mba,3
c1643,ru_HRTX,Heron Therapeutics,In-house Clinical Research Associate,San Diego,CA,data_science,3
c1646,ru_HWKN,Hawkins,Assistant Project Manager,Deer Park,NY,mba,3
c1648,ru_ICBK,County Bank,Credit Analyst,Santa Cruz,CA,mba_finance,3
c1650,ru_IIN,Intricon,Project Manager,Vadnais Heights,MN,mba,3
c1651,ru_IMAX,Imax,Business Analyst - IT,Los Angeles,CA,mba_analyst,3
c1653,ru_INFN,Infinera,Finance Manager / Controller,Sunnyvale,CA,mba_finance,3
c1654,ru_INN,Summit Hotel Properties,Construction Project Manager,Austin,TX,mba,3
c1655,ru_INSY,Insys Therapeutics,Stability Scientist I,Chandler,AZ,data_science,3
c1657,ru_INVH,Invitation Homes,Project Manager - Rehab & Turn,Scottsdale,AZ,mba,3
c1659,ru_IOVA,Iovance Biotherapeutics,Director/Senior Director - Biostatistics,San Carlos,CA,stats,3
c1661,ru_ITG,Investment Technology,Quantitative Finance Analyst 2019,Cinnaminson,NJ,mba_finance,3
c1662,ru_ITGR,Integer,Leadership Development Program Manager,Plano,TX,mba,3
c1663,ru_IVC,Invacare,Sourcing Project Manager,Elyria,OH,mba,3
c1665,ru_KIM,Kimco Realty,Financial Analyst,Charlotte,NC,mba_finance,3
c1667,ru_KO,Coca Cola,Finance Manager,Dallas,TX,mba_finance,3
c1669,ru_KRA,Kraton,Project Manager I,Panama City,FL,mba,3
c1671,ru_LFUS,Littelfuse,Senior Program Manager - Global Quality Management System,Chicago,IL,mba,3
c1673,ru_LOW,Lowes,Software Engineer,Mooresville,NC,computer_science,3
c1677,ru_M,Macys,Intimate Apparel Ambassador,Willow Grove,PA,mba,3
c1680,ru_MBIO,Mustang Bio,Princiapal/Senior Scientist Translational and Correlative Sciences,Worcester,MA,data_science,3
c1683,ru_MDXG,Mimedx,Health Policy Analyst,Marietta,GA,mba_analyst,3
c1684,ru_MEET,The Meet,Product Manager - Growlr,Philadelphia,PA,mba,3
