region,sid,ug_sid,ug_school,ug_school_short,ug_ctyst,treatment,profile,prestige
northeast,s40,ba20,University of Rhode Island,URI,"Kingston, RI",president of the University of Rhode Island College Republicans,P06RL,L
northeast,s40,ba20,University of Rhode Island,URI,"Kingston, RI",president of the University of Rhode Island College Democrats,P02DL,L
northeast,s40,ba20,University of Rhode Island,URI,"Kingston, RI",president of the University of Rhode Island Student Senate,P04NL,L
midwest,s13,ba21,Northwestern University,Northwestern,"Evanston, IL",president of the Northwestern College Democrats,P01DH,H
midwest,s13,ba21,Northwestern University,Northwestern,"Evanston, IL",president of the Northwestern College Republicans,P05RH,H
midwest,s13,ba21,Northwestern University,Northwestern,"Evanston, IL",president of the Northwestern Associated Student Government,P03NH,H
midwest,s21,ba22,University of Chicago,Chicago,"Chicago, IL",president of the University of Chicago Democrats,P01DH,H
midwest,s21,ba22,University of Chicago,Chicago,"Chicago, IL",president of the University of Chicago College Republicans,P05RH,H
midwest,s21,ba22,University of Chicago,Chicago,"Chicago, IL",president of the University of Chicago Student Government,P03NH,H
midwest,s32,ba23,University of Notre Dame,Notre Dame,"Notre Dame, IN",president of the Notre Dame College Republicans,P05RH,H
midwest,s32,ba23,University of Notre Dame,Notre Dame,"Notre Dame, IN",president of the Notre Dame College Democrats,P01DH,H
midwest,s32,ba23,University of Notre Dame,Notre Dame,"Notre Dame, IN",president of the Notre Dame Student Government,P03NH,H
midwest,s05,ba24,Central Michigan University,CMU,"Mount Pleasant, MI",president of the Central Michigan University College Democrats,P02DL,L
midwest,s05,ba24,Central Michigan University,CMU,"Mount Pleasant, MI",president of the Central Michigan University Student Government Association,P04NL,L
midwest,s05,ba24,Central Michigan University,CMU,"Mount Pleasant, MI",president of the Central Michigan University College Republicans,P06RL,L
midwest,s01,ba25,Bowling Green State University,BGSU,"Bowling Green, OH",president of the Bowling Green State University College Democrats,P02DL,L
midwest,s01,ba25,Bowling Green State University,BGSU,"Bowling Green, OH",president of the Bowling Green State University Undergraduate Student Government,P04NL,L
midwest,s01,ba25,Bowling Green State University,BGSU,"Bowling Green, OH",president of the Bowling Green State University College Republicans,P06RL,L
midwest,s41,ba26,Ball State University,Ball State,"Muncie, IN",president of the Ball State College Republicans,P06RL,L
midwest,s41,ba26,Ball State University,Ball State,"Muncie, IN",president of the Ball State College Democrats,P02DL,L
midwest,s41,ba26,Ball State University,Ball State,"Muncie, IN",president of the Ball State Student Government Association,P04NL,L
midatlantic,s37,ba27,Georgetown University,Georgetown,"Washington, DC",president of the Georgetown University College Republicans,P05RH,H
midatlantic,s37,ba27,Georgetown University,Georgetown,"Washington, DC",president of the Georgetown University College Democrats,P01DH,H
midatlantic,s37,ba27,Georgetown University,Georgetown,"Washington, DC",president of the Georgetown University Student Association,P03NH,H
midatlantic,s38,ba28,University of Virginia,UVA,"Charlottesville, VA",president of the UVA College Republicans,P05RH,H
midatlantic,s38,ba28,University of Virginia,UVA,"Charlottesville, VA",president of the University Democrats at UVA,P01DH,H
midatlantic,s38,ba28,University of Virginia,UVA,"Charlottesville, VA",president of the UVA Student Council,P03NH,H
midatlantic,s34,ba29,Johns Hopkins University,Johns Hopkins,"Baltimore, MD",president of the Johns Hopkins College Republicans,P05RH,H
midatlantic,s34,ba29,Johns Hopkins University,Johns Hopkins,"Baltimore, MD",president of the Johns Hopkins College Democrats,P01DH,H
midatlantic,s34,ba29,Johns Hopkins University,Johns Hopkins,"Baltimore, MD",president of the Johns Hopkins Student Government Association,P03NH,H
midatlantic,s42,ba30,Virginia Commonwealth University,VCU,"Richmond, VA",president of the VCU College Republicans,P06RL,L
midatlantic,s42,ba30,Virginia Commonwealth University,VCU,"Richmond, VA",president of the VCU Young Democrats,P02DL,L
midatlantic,s42,ba30,Virginia Commonwealth University,VCU,"Richmond, VA",president of the VCU Student Government Association,P04NL,L
midatlantic,s43,ba31,"University of Maryland, Baltimore County",UMBC,"Baltimore, MD",president of the UMBC College Republicans,P06RL,L
midatlantic,s43,ba31,"University of Maryland, Baltimore County",UMBC,"Baltimore, MD",president of the UMBC College Democrats,P02DL,L
midatlantic,s43,ba31,"University of Maryland, Baltimore County",UMBC,"Baltimore, MD",president of the UMBC Student Government Association,P04NL,L
midatlantic,s44,ba32,Old Dominion University,ODU,"Norfolk, VA",president of the Old Dominion University College Republicans,P06RL,L
midatlantic,s44,ba32,Old Dominion University,ODU,"Norfolk, VA",president of the Old Dominion University College Democrats,P02DL,L
midatlantic,s44,ba32,Old Dominion University,ODU,"Norfolk, VA",president of the Old Dominion University Student Government Association,P04NL,L
