list_id,company,raw_company,rank,source,job_type
hedge_80,Caxton Associates,Caxton Associates,81,hedge_fund_100,quant
hedge_81,Lazard Asset Management,Lazard Asset Management,82,hedge_fund_100,quant
hedge_82,Candriam Investors Group,Candriam Investors Group,83,hedge_fund_100,quant
hedge_83,Pictet Asset Management,Pictet Asset Management,84,hedge_fund_100,quant
hedge_84,Silver Point Capital,Silver Point Capital,85,hedge_fund_100,quant
hedge_85,Odey Asset Management,Odey Asset Management,86,hedge_fund_100,quant
hedge_86,Capital Fund Management,Capital Fund Management,87,hedge_fund_100,quant
hedge_87,Eton Park Capital Management,Eton Park Capital Management,88,hedge_fund_100,quant
hedge_88,Blue Ridge Capital Holdings,Blue Ridge Capital Holdings,89,hedge_fund_100,quant
hedge_89,GSA Capital Partners,GSA Capital Partners,90,hedge_fund_100,quant
hedge_90,Eminence Capital,Eminence Capital,91,hedge_fund_100,quant
hedge_91,Pine River Capital Management,Pine River Capital Management,92,hedge_fund_100,quant
hedge_92,MKP Capital Management,MKP Capital Management,93,hedge_fund_100,quant
hedge_93,Taconic Capital Advisors,Taconic Capital Advisors,94,hedge_fund_100,quant
hedge_94,Arrowgrass Capital Partners,Arrowgrass Capital Partners,95,hedge_fund_100,quant
hedge_95,JANA Partners,JANA Partners,96,hedge_fund_100,quant
hedge_96,Scopia Capital,Scopia Capital,97,hedge_fund_100,quant
hedge_97,Redwood Capital Management,Redwood Capital Management,98,hedge_fund_100,quant
hedge_98,Dymon Asia,Dymon Asia,99,hedge_fund_100,quant
hedge_99,Indus Capital Partners,Indus Capital Partners,99,hedge_fund_100,quant
hedge_100,Paloma International,Paloma International,99,hedge_fund_100,quant
