list_id,company,raw_company,rank,source,job_type
nasdaq_LPSN,LivePerson,"LivePerson, Inc.",300.0,nasdaq_tech,data_science_b
nasdaq_MGRC,McGrath RentCorp,McGrath RentCorp,301.0,nasdaq_tech,data_science_b
nasdaq_LTRPA,Liberty TripAdvisor Holdings,"Liberty TripAdvisor Holdings, Inc.",302.0,nasdaq_tech,data_science_b
nasdaq_DAVA,Endava plc,Endava plc,303.0,nasdaq_tech,data_science_b
nasdaq_LORL,Loral Space and Communications,"Loral Space and Communications, Inc.",304.0,nasdaq_tech,data_science_b
nasdaq_AMBA,Ambarella,"Ambarella, Inc.",305.0,nasdaq_tech,data_science_b
nasdaq_PRO,PROS Holdings,"PROS Holdings, Inc.",306.0,nasdaq_tech,data_science_b
nasdaq_PSDO,Presidio,"Presidio, Inc.",307.0,nasdaq_tech,data_science_b
nasdaq_EFII,Electronics for Imaging,"Electronics for Imaging, Inc.",308.0,nasdaq_tech,data_science_b
nasdaq_SYKE,"Sykes Enterprises, Incorporated","Sykes Enterprises, Incorporated",309.0,nasdaq_tech,data_science_b
nasdaq_CASA,Casa Systems,"Casa Systems, Inc.",310.0,nasdaq_tech,data_science_b
nasdaq_FSCT,ForeScout Technologies,"ForeScout Technologies, Inc.",311.0,nasdaq_tech,data_science_b
nasdaq_AQUA,Evoqua Water Technologies,Evoqua Water Technologies Corp.,312.0,nasdaq_tech,data_science_b
nasdaq_CSGS,CSG Systems International,"CSG Systems International, Inc.",313.0,nasdaq_tech,data_science_b
nasdaq_MTSI,MACOM Technology Solutions Holdings,"MACOM Technology Solutions Holdings, Inc.",314.0,nasdaq_tech,data_science_b
nasdaq_TTMI,TTM Technologies,"TTM Technologies, Inc.",315.0,nasdaq_tech,data_science_b
nasdaq_CLS,Celestica,"Celestica, Inc.",316.0,nasdaq_tech,data_science_b
nasdaq_NXGN,NextGen Healthcare,"NextGen Healthcare, Inc.",317.0,nasdaq_tech,data_science_b
nasdaq_TLND,Talend S.A.,Talend S.A.,318.0,nasdaq_tech,data_science_b
