cid,list_id,company,position,office,office_state,job_type,list_rank,source,file_rank
c0557,f1000_88,Exelon,Senior Project Manager,Baltimore,MD,mba,89.0,fortune1000,2
c0558,f1000_881,Donaldson,Supply Chain Project Manager,Bloomington,MN,mba,882.0,fortune1000,2
c0559,f1000_883,Super Micro Computer,Senior Software Engineer,San Jose,CA,computer_science,884.0,fortune1000,2
c0560,f1000_884,Xilinx,Machine Learning Engineer,San Jose,CA,data_science,885.0,fortune1000,2
c0561,f1000_886,Guess,Communications Project Manager,Los Angeles,CA,mba,887.0,fortune1000,2
c0562,f1000_89,General Dynamics,Data Scientist,Chantilly,VA,data_science,90.0,fortune1000,2
c0563,f1000_892,Express,Software Engineer,New York,NY,computer_science,893.0,fortune1000,2
c0564,f1000_893,Boyd Gaming,Senior Software Engineer,Las Vegas,NV,computer_science,894.0,fortune1000,2
c0565,f1000_895,Tribune Media,Digital Project Manager,Minneapolis,MN,mba,896.0,fortune1000,2
c0566,f1000_896,Microchip Technology,Software Engineer,San Jose,CA,computer_science,897.0,fortune1000,2
c0567,f1000_897,Fitbit,Software Engineer - iOS,San Diego,CA,computer_science,898.0,fortune1000,2
c0568,f1000_9,Ford Motor,Data Scientist,Dearborn,MI,data_science,10.0,fortune1000,2
c0569,f1000_903,Universal,Staff Scientist,Lake Worth,FL,data_science,904.0,fortune1000,2
c0570,f1000_904,CDK Global,Software Engineer I,Seattle,WA,computer_science,905.0,fortune1000,2
c0571,f1000_907,Curtiss-Wright,Associate Software Engineer,Idaho Falls,ID,computer_science,908.0,fortune1000,2
c0572,f1000_909,NOW,Software Developer,Cuyahoga Falls,OH,computer_science,910.0,fortune1000,2
c0573,f1000_911,Kennametal,Product Manager Marketing,Latrobe,PA,mba,912.0,fortune1000,2
c0574,f1000_92,CHS,Senior Project Manager,Inver Grove Heights,MN,mba,93.0,fortune1000,2
c0575,f1000_922,AvalonBay Communities,Salesforce Software Engineer,Arlington,VA,computer_science,923.0,fortune1000,2
c0577,f1000_927,Autodesk,Senior Program Manager - Brand Activations,San Francisco,CA,mba,928.0,fortune1000,2
c0578,f1000_929,E Trade Financial,Senior Java Developer,Jersey City,NJ,computer_science,930.0,fortune1000,2
c0579,f1000_930,Woodward,Program Manager,Rockford,IL,mba,931.0,fortune1000,2
c0580,f1000_931,Esterline Technologies,Software Engineer,Cedar Rapids,IA,computer_science,932.0,fortune1000,2
c0581,f1000_932,Itron,Deployment Project Manager,San Jose,CA,mba,933.0,fortune1000,2
c0582,f1000_94,Time Warner,Data Science Fellow,Boston,MA,data_science,95.0,fortune1000,2
c0584,f1000_95,Spectrum,Sr Data Scientist,Stamford,CT,data_science,96.0,fortune1000,2
c0585,f1000_951,CoreLogic,Principal - Data Scientist,San Diego,CA,data_science,952.0,fortune1000,2
c0586,f1000_954,Popular,Software Engineer,Chicago,IL,computer_science,955.0,fortune1000,2
c0588,f1000_959,Portland General Electric,Data Scientist,Portland,OR,data_science,960.0,fortune1000,2
c0589,f1000_96,Northwestern Mutual,Software Engineer,Milwaukee,WI,computer_science,97.0,fortune1000,2
c0590,f1000_97,Facebook,Machine Learning Engineer,Menlo Park,CA,data_science,98.0,fortune1000,2
c0591,f1000_972,Teleflex,Web Developer,Morrisville,NC,computer_science,973.0,fortune1000,2
c0592,f1000_978,Catalent,Scientist,Saint Petersburg,FL,data_science,979.0,fortune1000,2
c0593,f1000_979,GoDaddy,Senior Software Engineer - Web,Kirkland,WA,computer_science,980.0,fortune1000,2
c0594,f1000_98,Travelers,Machine Learning Data Scientist,Hartford,CT,data_science,99.0,fortune1000,2
c0595,f1000_99,Capital One,Data Scientist,McLean,VA,data_science,100.0,fortune1000,2
c0596,f1000_991,Cadence Design Systems,Software Engineer,San Jose,CA,data_science,992.0,fortune1000,2
c0597,f1000_993,Marriott Vacations Worldwide,Web Developer,Orlando,FL,computer_science,994.0,fortune1000,2
c0598,f1000_997,Kaman,Temporary Technical Project Manager,Bloomfield,CT,mba,998.0,fortune1000,2
c0599,f1000_999,Regis,Water Resources Program Manager,Akwesasne,NY,mba,1000.0,fortune1000,2
c0600,forbes_1,Slack,Data Scientist - Sales,New York,NY,data_science,2.0,forbes_cloud100,2
c0601,forbes_10,Mailchimp,Software Engineer - Data Systems,Brooklyn,NY,computer_science,11.0,forbes_cloud100,2
c0602,forbes_11,Cloudflare,Technical Program Manager - Network Services,San Francisco,CA,mba,12.0,forbes_cloud100,2
c0603,forbes_14,Medallia,Senior Product Manager,San Mateo,CA,mba,15.0,forbes_cloud100,2
c0604,forbes_15,PagerDuty,Senior Software Engineer - Billing & Monetization,Atlanta,GA,computer_science,16.0,forbes_cloud100,2
c0605,forbes_16,Snowflake,Senior Software Engineer,Seattle,WA,computer_science,17.0,forbes_cloud100,2
c0606,forbes_17,Cylance,Sr Data Engineer,Irvine,CA,data_science,18.0,forbes_cloud100,2
c0607,forbes_20,Rubrik,Sr Product Manager - Virtualization,Palo Alto,CA,mba,21.0,forbes_cloud100,2
c0608,forbes_28,Toast,Senior Data Scientist,Boston,MA,data_science,29.0,forbes_cloud100,2
c0609,forbes_30,Confluent,Java Engineer,Austin,TX,computer_science,31.0,forbes_cloud100,2
c0610,forbes_33,Looker,Senior Front-End Engineer - Application Framework,San Francisco Bay Area,CA,computer_science,34.0,forbes_cloud100,2
c0611,forbes_39,PointClickCare,Senior Software Engineer,Bloomington,MN,computer_science,40.0,forbes_cloud100,2
c0612,forbes_41,AvidXchange,Software Engineer II,Charlotte,NC,computer_science,42.0,forbes_cloud100,2
c0613,forbes_42,Vlocity,Lead Software Engineer,San Francisco,CA,computer_science,43.0,forbes_cloud100,2
c0614,forbes_43,Lookout,Senior Frontend Software Engineer,San Francisco,CA,computer_science,44.0,forbes_cloud100,2
c0615,forbes_45,ServiceTitan,Software Engineer,Los Angeles,CA,computer_science,46.0,forbes_cloud100,2
c0616,forbes_46,Checkr,Software Engineer - Full Stack,San Francisco,CA,computer_science,47.0,forbes_cloud100,2
c0617,forbes_48,Acquia,Software Engineer,Boston,MA,computer_science,49.0,forbes_cloud100,2
c0618,forbes_54,SMS Assist,Senior Data Scientist,Chicago,IL,data_science,55.0,forbes_cloud100,2
c0619,forbes_55,Fastly,Software Engineer - Varnish,San Francisco,CA,computer_science,56.0,forbes_cloud100,2
c0620,forbes_57,Welltok,Software Engineer,Burlington,MA,computer_science,58.0,forbes_cloud100,2
c0621,forbes_61,Workfront,Software Engineer II,Lehi,UT,computer_science,62.0,forbes_cloud100,2
c0622,forbes_70,Health Catalyst,NLP Data Scientist,Boston,MA,data_science,71.0,forbes_cloud100,2
c0623,forbes_73,JFrog,Senior Software Developer,Sunnyvale,CA,computer_science,74.0,forbes_cloud100,2
c0624,forbes_74,American Well,Product Marketing Manager,Boston,MA,mba,75.0,forbes_cloud100,2
c0625,forbes_8,Elastic,Elastic Code - Senior Software Engineer,Los Angeles,CA,computer_science,9.0,forbes_cloud100,2
c0626,forbes_81,Evernote,Software Engineer - Organization,Redwood City,CA,computer_science,82.0,forbes_cloud100,2
c0627,forbes_87,Carta,Senior Data Engineer,New York,NY,data_science,88.0,forbes_cloud100,2
c0628,forbes_91,Outreach,Data Science Engineering Manager,Seattle,WA,data_science,92.0,forbes_cloud100,2
c0629,forbes_93,Exabeam,Software Engineer Web Front-End,San Mateo,CA,computer_science,94.0,forbes_cloud100,2
c0630,forbes_96,Endgame,Senior Software Engineer,Arlington,VA,computer_science,97.0,forbes_cloud100,2
c0631,forbes_98,Dialpad,Project Manager,San Ramon,CA,mba,99.0,forbes_cloud100,2
c0632,glassdoor_0,Heap,Software Engineer - Product,San Francisco,CA,computer_science,1.0,glassdoor_med_small,2
c0633,glassdoor_102,VI,Senior Software Engineer IV,Longmont,CO,computer_science,53.0,glassdoor_large,2
c0634,glassdoor_106,Keller Williams,Senior Data Engineer,Austin,TX,data_science,57.0,glassdoor_large,2
c0635,glassdoor_107,AppDynamics,Software Engineer,Raleigh,NC,computer_science,58.0,glassdoor_large,2
c0636,glassdoor_108,T-Mobile,Data Scientist,Bellevue,WA,data_science,59.0,glassdoor_large,2
c0637,glassdoor_109,Rose International,Assistant Project Manager,New York,NY,mba,60.0,glassdoor_large,2
c0638,glassdoor_112,John Deere,API Software Engineer,Moline,IL,computer_science,63.0,glassdoor_large,2
c0639,glassdoor_113,NewYork-Presbyterian Hospital,Program Manager - Nursing Education-Gracie Square Hospital,Manhattan,NY,mba,64.0,glassdoor_large,2
c0640,glassdoor_115,Memorial Sloan Kettering,Machine Learning Scientist - Digital & Computational Pathology,New York,NY,data_science,66.0,glassdoor_large,2
c0641,glassdoor_117,MD Anderson Cancer Center,Imaging Research Specialist,Houston,TX,data_science,68.0,glassdoor_large,2
c0642,glassdoor_122,BAYADA Home Health Care,Program Manager - Home Health Senior Living,Lansdale,PA,mba,73.0,glassdoor_large,2
c0643,glassdoor_128,Costco Wholesale,Software Developer,Issaquah,WA,computer_science,79.0,glassdoor_large,2
c0644,glassdoor_130,Discount Tire,Data Scientist II,Scottsdale,AZ,data_science,81.0,glassdoor_large,2
c0645,glassdoor_133,Massachusetts General Hospital,Research Scientist,Boston,MA,data_science,84.0,glassdoor_large,2
c0646,glassdoor_135,Edward Jones,Product Manager - Client Strategies Group,St. Louis,MO,mba,86.0,glassdoor_large,2
c0647,glassdoor_140,Gensler,Software Developer,La Crosse,WI,computer_science,91.0,glassdoor_large,2
c0648,glassdoor_142,BOK Financial,IT Asset Management Program Manager,Tulsa,OK,mba,93.0,glassdoor_large,2
c0649,glassdoor_148,World Wide Technology,Virtual Software Engineer,St. Louis,MO,computer_science,99.0,glassdoor_large,2
c0650,glassdoor_16,Sundance Vacations,Web/Software Developer,Wilkes-Barre,PA,computer_science,17.0,glassdoor_med_small,2
c0651,glassdoor_17,Grand Rounds,Program Manager - InfoSec and IT,San Francisco,CA,mba,18.0,glassdoor_med_small,2
c0652,glassdoor_18,Pariveda Solutions,Software Engineer,Seattle,WA,computer_science,19.0,glassdoor_med_small,2
c0653,glassdoor_24,Front,Deputy Project Manager,Arlington,VA,mba,25.0,glassdoor_med_small,2
c0654,glassdoor_27,OppLoans,Software Engineer,Chicago,IL,computer_science,28.0,glassdoor_med_small,2
c0655,glassdoor_38,Spreetail,Software Engineer II,Austin,TX,computer_science,39.0,glassdoor_med_small,2
c0656,glassdoor_40,Sage Intacct,Sr Software Engineer Lead,San Jose,CA,computer_science,41.0,glassdoor_med_small,2
c0657,glassdoor_45,Berkshire,NET Software Engineer II,Omaha,NE,computer_science,46.0,glassdoor_med_small,2
c0658,glassdoor_46,Indigo,Data Engineer - Geoinnovation,Boston,MA,data_science,47.0,glassdoor_med_small,2
c0659,glassdoor_53,Procore Technologies,Senior Software Engineer,Austin,TX,computer_science,4.0,glassdoor_large,2
c0660,glassdoor_54,Boston Consulting Group,Software Engineer,Boston,MA,computer_science,5.0,glassdoor_large,2
c0661,glassdoor_57,Google,Data Science Manager - Finance,Sunnyvale,CA,data_science,8.0,glassdoor_large,2
c0662,glassdoor_63,Slalom,Data Scientist - Data & Analytics,Charlotte,NC,data_science,14.0,glassdoor_large,2
c0663,glassdoor_64,Power Home Remodeling,Full Stack Ruby on Rails Developer,Philadelphia,PA,computer_science,15.0,glassdoor_large,2
c0664,glassdoor_67,Ultimate Software,Software Engineer,San Francisco,CA,computer_science,18.0,glassdoor_large,2
c0665,glassdoor_73,Lawrence Livermore National Laboratory,Cybersecurity Data Scientist,Livermore,CA,data_science,24.0,glassdoor_large,2
c0666,glassdoor_76,SAP,Senior Developer Machine Learning,Palo Alto,CA,data_science,27.0,glassdoor_large,2
c0667,glassdoor_81,Compass,Machine Learning Scientist,New York,NY,data_science,32.0,glassdoor_large,2
c0668,glassdoor_88,NIH,Research Scientist,Rockville,MD,data_science,39.0,glassdoor_large,2
c0669,glassdoor_90,Cengage,Associate Software Engineer,Washington,DC,computer_science,41.0,glassdoor_large,2
c0670,glassdoor_91,Blizzard Entertainment,Software Engineer - Tools,Irvine,CA,computer_science,42.0,glassdoor_large,2
c0671,glassdoor_93,Kronos,Senior Scientist - Drug Discovery Cancer Biology,Cambridge,MA,data_science,44.0,glassdoor_large,2
c0672,glassdoor_97,SpaceX,Lead Full Stack Software Engineer,Los Angeles,CA,computer_science,48.0,glassdoor_large,2
c0673,hedge_16,Citadel,Collections Analyst 1,Exton,PA,mba_finance,17.0,hedge_fund_100,2
c0674,hedge_4,Two Sigma,Quantitative Engineer,Houston,TX,quant,5.0,hedge_fund_100,2
c0675,hedge_40,Fortress Investment Group,FTAI Accounting Manager,New York,NY,quant,41.0,hedge_fund_100,2
c0676,hedge_57,Bracebridge Capital,Quantitative Investment Analyst,Boston,MA,quant,58.0,hedge_fund_100,2
c0677,hedge_6,Millennium Management,Quant Developer - Stat Arb,New York,NY,quant,7.0,hedge_fund_100,2
c0678,nasdaq_ACIW,ACI Worldwide,Sr Software Engineer,Omaha,NE,computer_science,197.0,nasdaq_tech,2
c0679,nasdaq_ADBE,Adobe,Data Scientist,San Jose,CA,data_science,10.0,nasdaq_tech,2
c0680,nasdaq_AGYS,Agilysys,Software Engineer Lead,Bellevue,WA,computer_science,410.0,nasdaq_tech,2
c0681,nasdaq_ALRM,Alarm.com,Software Engineer,Redwood City,CA,computer_science,219.0,nasdaq_tech,2
c0682,nasdaq_ALTR,Altair Engineering,Software Engineer,Gardena,CA,computer_science,245.0,nasdaq_tech,2
c0683,nasdaq_AMRH,Ameri,Software Engineer,Carlsbad,CA,computer_science,589.0,nasdaq_tech,2
c0684,nasdaq_ANET,Arista Networks,Software Product Manager - EOS,Santa Clara,CA,mba,59.0,nasdaq_tech,2
c0685,nasdaq_ANSS,Ansys,Software Developer II,Canonsburg,PA,computer_science,68.0,nasdaq_tech,2
c0686,nasdaq_APPF,AppFolio,Senior Software Engineer - Machine Learning,Santa Barbara,CA,data_science,243.0,nasdaq_tech,2
c0687,nasdaq_APY,Apergy,Lead Software Engineer,Frederick,CO,computer_science,226.0,nasdaq_tech,2
c0688,nasdaq_ARRS,Arris,Program Manager,Santa Clara,CA,mba,135.0,nasdaq_tech,2
c0689,nasdaq_ASUR,Asure Software,Software Engineer,Burlington,VT,computer_science,489.0,nasdaq_tech,2
c0690,nasdaq_ASYS,Amtech Systems,Software Engineer I,Albuquerque,NM,computer_science,508.0,nasdaq_tech,2
c0691,nasdaq_AVGO,Broadcom,Software Engineer - Machine Learning Services,Plano,TX,data_science,13.0,nasdaq_tech,2
c0692,nasdaq_AVID,Avid Technology,Sr Data Engineer,Burlington,MA,data_science,444.0,nasdaq_tech,2
c0693,nasdaq_AYX,Alteryx,Software Engineer,Broomfield,CO,computer_science,162.0,nasdaq_tech,2
c0694,nasdaq_AZPN,Aspen Technology,Data Scientist,Bedford,MA,data_science,126.0,nasdaq_tech,2
c0695,nasdaq_BAND,Bandwidth,Software Engineer,Raleigh,NC,computer_science,349.0,nasdaq_tech,2
c0696,nasdaq_BCOV,Brightcove,Senior Software Engineer,Scottsdale,AZ,computer_science,429.0,nasdaq_tech,2
c0697,nasdaq_BKI,Black Knight,Product Manager - Data Sciences,Irvine,CA,data_science,119.0,nasdaq_tech,2
c0698,nasdaq_BL,BlackLine,Staff Software Engineer Front End,Woodland Hills,CA,computer_science,231.0,nasdaq_tech,2
c0699,nasdaq_BLKB,Blackbaud,Software Engineer,Charleston,SC,computer_science,198.0,nasdaq_tech,2
c0700,nasdaq_BRKS,Brooks Automation,Software Engineer,Fremont,CA,computer_science,247.0,nasdaq_tech,2
c0701,nasdaq_CARS,Cars.com,Transformation Program Manager,Chicago,IL,mba,275.0,nasdaq_tech,2
c0702,nasdaq_CASA,Casa Systems,Software Engineer - Amf/N3Iwf,Andover,MA,computer_science,310.0,nasdaq_tech,2
c0703,nasdaq_CBLK,Carbon Black,Threat Data Engineer,Boulder,CO,data_science,333.0,nasdaq_tech,2
c0704,nasdaq_CDLX,Cardlytics,Senior Big Data Engineer,Atlanta,GA,data_science,425.0,nasdaq_tech,2
c0705,nasdaq_CEVA,CEVA,R&D Scientist 1,Kansas City,KS,data_science,376.0,nasdaq_tech,2
c0706,nasdaq_CHKP,Check Point Software Technologies,Software Engineer,San Carlos,CA,computer_science,58.0,nasdaq_tech,2
c0707,nasdaq_CLDR,Cloudera,Machine Learning/Data Science Technical Writer,Palo Alto,CA,data_science,204.0,nasdaq_tech,2
c0708,nasdaq_CMTL,Comtech Telecommunications,Senior Software Engineer,Tempe,AZ,computer_science,369.0,nasdaq_tech,2
c0709,nasdaq_CRAY,Cray,Software Engineer,Chippewa Falls,WI,computer_science,341.0,nasdaq_tech,2
c0710,nasdaq_CSLT,Castlight Health,Senior Data Engineer,San Francisco,CA,data_science,403.0,nasdaq_tech,2
c0711,nasdaq_CSOD,Cornerstone OnDemand,Senior Software Engineer - DevOps & Build Release,Santa Monica,CA,computer_science,200.0,nasdaq_tech,2
c0712,nasdaq_CTG,Computer Task Group,Java Developer,Secaucus,NJ,computer_science,512.0,nasdaq_tech,2
c0713,nasdaq_DBX,Dropbox,Head of Data Science - Growth,San Francisco,CA,data_science,93.0,nasdaq_tech,2
c0714,nasdaq_DDD,3D Systems,Cloud Software Engineer,San Diego,CA,computer_science,297.0,nasdaq_tech,2
c0715,nasdaq_EGAN,eGain,Software Developer - Java,Tampa,FL,computer_science,448.0,nasdaq_tech,2
c0716,nasdaq_EGHT,8X8,Machine Learning Engineer,San Jose,CA,data_science,255.0,nasdaq_tech,2
c0717,nasdaq_ELLI,Ellie Mae,Sr Software Engineer - UI,Pleasanton,CA,computer_science,230.0,nasdaq_tech,2
c0718,nasdaq_EMKR,Emcore,Software Engineer,Alhambra,CA,computer_science,470.0,nasdaq_tech,2
c0719,nasdaq_EPAM,EPAM Systems,Lead Software Engineer,Pittsburgh,PA,computer_science,117.0,nasdaq_tech,2
c0720,nasdaq_ERIC,Ericsson,Data Scientist,Plano,TX,data_science,217.0,nasdaq_tech,2
c0721,nasdaq_ETN,Eaton,Data Scientist,Eden Prairie,MN,data_science,35.0,nasdaq_tech,2
c0722,nasdaq_EVBG,Everbridge,Software Engineer I,Lansing,MI,computer_science,265.0,nasdaq_tech,2
c0723,nasdaq_EVER,EverQuote,Senior Software Engineer - Platform/Back End/Big Data,Cambridge,MA,computer_science,463.0,nasdaq_tech,2
c0724,nasdaq_EVTC,Evertec,Sr Software Developer,San Juan,PR,computer_science,244.0,nasdaq_tech,2
c0725,nasdaq_FEYE,FireEye,Senior Software Engineer,Milpitas,CA,computer_science,195.0,nasdaq_tech,2
c0726,nasdaq_FIVN,Five9,Senior Voice Software Engineer,San Ramon,CA,computer_science,216.0,nasdaq_tech,2
c0727,nasdaq_FLEX,Flex,Embedded Software Engineer,Irving,TX,computer_science,163.0,nasdaq_tech,2
c0728,nasdaq_FTNT,Fortinet,Software Development Engineer 3,Sunnyvale,CA,computer_science,72.0,nasdaq_tech,2
c0729,nasdaq_GDI,Gardner Denver,Product Manager - Process Pumps,Quincy,IL,mba,156.0,nasdaq_tech,2
c0730,nasdaq_GLUU,Glu Mobile,Sr Software Engineer - Unity,San Francisco,CA,computer_science,294.0,nasdaq_tech,2
c0731,nasdaq_GWRE,Guidewire Software,Data Scientist - Cyber Risk Analytics,San Mateo,CA,data_science,123.0,nasdaq_tech,2
c0732,nasdaq_HSTM,HealthStream,Software Developer,San Diego,CA,computer_science,350.0,nasdaq_tech,2
c0733,nasdaq_HUBS,HubSpot,Senior Software Engineer - CMS,Boston,MA,computer_science,134.0,nasdaq_tech,2
c0734,nasdaq_IMMR,Immersion,Senior Java Developer,Baltimore,MD,computer_science,423.0,nasdaq_tech,2
c0735,nasdaq_INFO,IHS Markit,Data Scientist I,Rockville,MD,data_science,48.0,nasdaq_tech,2
c0736,nasdaq_INOV,Inovalon,Senior Project Manager - Technology,Bowie,MD,mba,241.0,nasdaq_tech,2
c0737,nasdaq_INST,Instructure,Software Engineer,Chicago,IL,computer_science,286.0,nasdaq_tech,2
c0738,nasdaq_JCOM,j2 Global,Software Engineer,Clearwater,FL,computer_science,190.0,nasdaq_tech,2
c0739,nasdaq_KFRC,Kforce,Java/J2EE Software Developer,Phoenix,AZ,computer_science,343.0,nasdaq_tech,2
c0740,nasdaq_KFY,Korn Ferry,Senior Storage Systems Software Engineer,San Jose,CA,computer_science,225.0,nasdaq_tech,2
c0741,nasdaq_LN,LINE,Senior Data Scientist,Cincinnati,OH,data_science,95.0,nasdaq_tech,2
c0742,nasdaq_LOGM,LogMein,Staff Data Scientist,Boston,MA,data_science,157.0,nasdaq_tech,2
c0743,nasdaq_LTRX,Lantronix,Principal Cloud Software Engineer,Irvine,CA,computer_science,498.0,nasdaq_tech,2
c0744,nasdaq_MANH,Manhattan Associates,Software Engineer - R&D,Atlanta,GA,computer_science,205.0,nasdaq_tech,2
c0745,nasdaq_MB,Mindbody,Head of Machine Learning,San Francisco,CA,data_science,259.0,nasdaq_tech,2
c0746,nasdaq_MDB,MongoDB,Data Scientist - Growth,New York,NY,data_science,176.0,nasdaq_tech,2
c0747,nasdaq_MDSO,Medidata Solutions,Senior Software Engineer,New York,NY,computer_science,171.0,nasdaq_tech,2
c0748,nasdaq_MITK,Mitek Systems,Sr Data Engineer / Data Manager,San Diego,CA,data_science,390.0,nasdaq_tech,2
c0749,nasdaq_MPWR,Monolithic Power Systems,Sr IT Software Engineer,San Jose,CA,computer_science,139.0,nasdaq_tech,2
c0750,nasdaq_NATI,National Instruments,Software Engineer - Senior,Austin,TX,computer_science,127.0,nasdaq_tech,2
c0751,nasdaq_NEWR,New Relic,Machine Learning Software Engineer - Data Exploration Team,Portland,OR,data_science,144.0,nasdaq_tech,2
c0752,nasdaq_NICE,NICE,Product Manager - Communications Surveillance,Hoboken,NJ,mba,155.0,nasdaq_tech,2
c0753,nasdaq_NOK,Nokia,Software Engineer,Irving,TX,computer_science,29.0,nasdaq_tech,2
c0754,nasdaq_NOW,ServiceNow,Senior Data Scientist,Santa Clara,CA,data_science,28.0,nasdaq_tech,2
c0755,nasdaq_NTNX,Nutanix,Data Engineer,San Jose,CA,data_science,100.0,nasdaq_tech,2
c0756,nasdaq_NXGN,NextGen Healthcare,Software Engineer,Atlanta,GA,computer_science,317.0,nasdaq_tech,2
c0757,nasdaq_OKTA,Okta,Senior Data Engineer,San Francisco,CA,data_science,110.0,nasdaq_tech,2
c0758,nasdaq_OMCL,Omnicell,Data Engineer,Pittsburgh,PA,data_science,222.0,nasdaq_tech,2
c0759,nasdaq_PANW,Palo Alto Networks,Big Data Engineer,Santa Clara,CA,data_science,51.0,nasdaq_tech,2
c0760,nasdaq_PCTY,Paylocity,Data Engineer,Schaumburg,IL,data_science,196.0,nasdaq_tech,2
c0761,nasdaq_PFPT,Proofpoint,Data Scientist,Broomfield,CO,data_science,142.0,nasdaq_tech,2
c0762,nasdaq_PHUN,Phunware,Software Engineer - Android,Austin,TX,computer_science,400.0,nasdaq_tech,2
c0763,nasdaq_PLUS,ePlus,Senior Project Manager,Milpitas,CA,mba,323.0,nasdaq_tech,2
c0764,nasdaq_PRFT,Perficient,Senior Software Engineer,Chicago,IL,computer_science,351.0,nasdaq_tech,2
c0765,nasdaq_PRGS,Progress Software,Senior Product Marketing Specialist,Morrisville,NC,mba,271.0,nasdaq_tech,2
c0766,nasdaq_PRO,PROS,Research,Chicago,IL,data_science,306.0,nasdaq_tech,2
c0767,nasdaq_PRSP,Perspecta,Data Engineer,Chantilly,VA,data_science,201.0,nasdaq_tech,2
c0768,nasdaq_PS,Pluralsight,Senior Machine Learning Engineer,Boston,MA,data_science,184.0,nasdaq_tech,2
c0769,nasdaq_PSDO,Presidio,Project Manager - Corporate IT,Fulton,MO,mba,307.0,nasdaq_tech,2
c0770,nasdaq_PSTG,Pure Storage,Senior Software Engineer - UI,Bellevue,WA,computer_science,165.0,nasdaq_tech,2
c0771,nasdaq_PTC,PTC,Sr Scientist - Bioanalysis,South Plainfield,NJ,data_science,83.0,nasdaq_tech,2
c0772,nasdaq_PVTL,Pivotal Software,Software Engineer - Pivotal Labs,Atlanta,GA,computer_science,153.0,nasdaq_tech,2
c0773,nasdaq_QTM,Quantum,Operations Research Systems Analyst,Arlington,VA,data_science,521.0,nasdaq_tech,2
c0774,nasdaq_QTWO,Q2,Senior Scientist - Immunology/Vaccines,Atlanta,GA,data_science,234.0,nasdaq_tech,2
c0775,nasdaq_RAMP,LiveRamp,Head of Data Science,San Francisco,CA,data_science,211.0,nasdaq_tech,2
c0776,nasdaq_RNG,Ringcentral,Senior Software Engineer,Boulder,CO,computer_science,120.0,nasdaq_tech,2
c0777,nasdaq_RP,RealPage,Software Engineer,Richardson,TX,computer_science,141.0,nasdaq_tech,2
c0778,nasdaq_RPD,Rapid7,Data Scientist - Business Intelligence,Boston,MA,data_science,266.0,nasdaq_tech,2
c0779,nasdaq_SAIL,SailPoint Technologies,Software Engineer,Austin,TX,computer_science,233.0,nasdaq_tech,2
c0780,nasdaq_SEND,SendGrid,Software Development Engineer in Test,Denver,CO,computer_science,236.0,nasdaq_tech,2
c0781,nasdaq_SMAR,Smartsheet,Senior Product Manager - Solutions,Bellevue,WA,mba,218.0,nasdaq_tech,2
c0782,nasdaq_SPA,Sparton,Software Engineer IV,De Leon Springs,FL,computer_science,449.0,nasdaq_tech,2
c0783,nasdaq_SPLK,Splunk,Data Scientist,Boulder,CO,data_science,55.0,nasdaq_tech,2
c0784,nasdaq_SPRT,Support.com,Full-Stack Application Developer,Sunnyvale,CA,computer_science,533.0,nasdaq_tech,2
c0785,nasdaq_SPWR,SunPower,Software Developer - Analytics Tools,Richmond,CA,computer_science,352.0,nasdaq_tech,2
c0786,nasdaq_SQ,Square,Software Engineer - Caviar,San Francisco,CA,computer_science,39.0,nasdaq_tech,2
c0787,nasdaq_SSNC,SS&C Technologies,Sr Software Engineer - Machine Learning,Boston,MA,data_science,76.0,nasdaq_tech,2
c0788,nasdaq_SSTK,Shutterstock,Data Engineer,New York,NY,data_science,295.0,nasdaq_tech,2
c0789,nasdaq_SSYS,Stratasys,Software Engineer,Boston,MA,computer_science,319.0,nasdaq_tech,2
c0790,nasdaq_STX,Seagate Technology,Staff Engineer - R&D Surface Scientist,Longmont,CO,data_science,77.0,nasdaq_tech,2
c0791,nasdaq_SWCH,Switch,Design and Software Engineer,Weymouth,MA,computer_science,256.0,nasdaq_tech,2
c0792,nasdaq_SWI,SolarWinds,Associate Data Scientist,Austin,TX,data_science,146.0,nasdaq_tech,2
c0793,nasdaq_SYNA,Synaptics,Senior Software Engineer,San Jose,CA,computer_science,291.0,nasdaq_tech,2
c0794,nasdaq_SYNC,Synacor,Principal Software Engineer,Buffalo,NY,computer_science,510.0,nasdaq_tech,2
c0795,nasdaq_TEAM,Atlassian,Software Engineer - Identity,Mountain View,CA,computer_science,44.0,nasdaq_tech,2
c0796,nasdaq_TENB,Tenable,Sr Software Engineer - UI,Columbia,MD,computer_science,235.0,nasdaq_tech,2
c0797,nasdaq_TLRA,Telaria,Data Engineer,Mountain View,CA,data_science,464.0,nasdaq_tech,2
c0798,nasdaq_TRIP,TripAdvisor,Senior Data Science Manager,Needham,MA,data_science,108.0,nasdaq_tech,2
c0799,nasdaq_TRUE,TrueCar,Senior Software Engineer,Boston,MA,computer_science,327.0,nasdaq_tech,2
c0800,nasdaq_TTD,The Trade Desk,Lead Data Scientist,New York,NY,data_science,133.0,nasdaq_tech,2
c0801,nasdaq_TWLO,Twilio,Software Engineer - Voice Pay,San Francisco,CA,computer_science,89.0,nasdaq_tech,2
c0802,nasdaq_TWOU,2U,Senior Special Projects Coordinator - Data Science,New York,NY,data_science,203.0,nasdaq_tech,2
c0803,nasdaq_TYL,Tyler Technologies,Project Manager - Eagle Recorder,Plano,TX,mba,115.0,nasdaq_tech,2
