cid,list_id,company,position,office,office_state,job_type,list_rank,source,file_rank
c0059,forbes_19,Intercom,Senior Data Analyst,San Francisco,CA,mba_analyst,20.0,forbes_cloud100,1
c0060,forbes_37,Automation Anywhere,Senior Software Engineer,San Jose,CA,computer_science,38.0,forbes_cloud100,1
c0061,forbes_58,Dataminr,Software Engineer II,New York,NY,computer_science,59.0,forbes_cloud100,1
c0062,forbes_86,Sumo Logic,Principal Product Manager - Operational Analytics,Redwood City,CA,mba,87.0,forbes_cloud100,1
c0063,glassdoor_101,Northside Hospital,Senior Financial Analyst,Atlanta,GA,mba_finance,52.0,glassdoor_large,1
c0064,glassdoor_121,Omni Hotels,Sales Automation Data Analyst,Dallas,TX,mba_analyst,72.0,glassdoor_large,1
c0065,glassdoor_134,FedEx Freight,Sr Analyst-Operations Research,Harrison,AR,stats,85.0,glassdoor_large,1
c0066,glassdoor_147,Kaiser Permanente,Data Scientist,Pasadena,CA,data_science,98.0,glassdoor_large,1
c0067,glassdoor_15,iCIMS,Software Engineer II,Holmdel,NJ,computer_science,16.0,glassdoor_med_small,1
c0068,glassdoor_25,23andMe,Software Engineer - Machine Learning,Mountain View,CA,data_science,26.0,glassdoor_med_small,1
c0069,glassdoor_55,LinkedIn,Staff Data Scientist,Sunnyvale,CA,data_science,6.0,glassdoor_large,1
c0070,glassdoor_62,St. Jude Children's Research Hospital,Senior Image Data Scientist,Memphis,TN,data_science,13.0,glassdoor_large,1
c0071,glassdoor_70,Ryan,Senior Software Engineer,Dallas,TX,computer_science,21.0,glassdoor_large,1
c0072,glassdoor_78,Navy Federal Credit Union,Quantitative Risk Modeler,Vienna,VA,quant,29.0,glassdoor_large,1
c0073,glassdoor_96,The Clorox Company,Senior Financial Analyst- Finance Systems,Pleasanton,CA,mba_finance,47.0,glassdoor_large,1
c0074,nasdaq_AVLR,Avalara,Project Manager,Seattle,WA,mba,220.0,nasdaq_tech,1
c0075,nasdaq_BOX,Box,Staff Software Engineer - Backend,Redwood City,CA,computer_science,215.0,nasdaq_tech,1
c0076,nasdaq_CREE,Cree,Financial Analyst III,Morgan Hill,CA,mba_finance,148.0,nasdaq_tech,1
c0077,nasdaq_DOCU,DocuSign,Senior Product Data Scientist,San Francisco,CA,data_science,113.0,nasdaq_tech,1
