company,job_type_1,job_type_2,job_type_3,job_type_4,job_type_5,job_type_6,job_type_7
TIAA,data_science,mba,consultant,quant,stats,petroleum_geologist,chemical_engineer
Oracle,data_science,mba,consultant,quant,stats,petroleum_geologist,chemical_engineer
Tyson Foods,data_science,mba,consultant,quant,stats,petroleum_geologist,chemical_engineer
United Continental,data_science,mba,consultant,quant,stats,petroleum_geologist,chemical_engineer
Allstate,data_science,mba,consultant,quant,stats,petroleum_geologist,chemical_engineer
Publix Super Markets,data_science,mba,consultant,quant,stats,petroleum_geologist,chemical_engineer
American Express,data_science,mba,consultant,quant,stats,petroleum_geologist,chemical_engineer
TJX,data_science,mba,consultant,quant,stats,petroleum_geologist,chemical_engineer
Nike,data_science,mba,consultant,quant,stats,petroleum_geologist,chemical_engineer
Exelon,data_science,mba,consultant,quant,stats,petroleum_geologist,chemical_engineer
General Dynamics,data_science,mba,consultant,quant,stats,petroleum_geologist,chemical_engineer
Rite Aid,data_science,mba,consultant,quant,stats,petroleum_geologist,chemical_engineer
Gilead Sciences,data_science,mba,consultant,quant,stats,petroleum_geologist,chemical_engineer
CHS,data_science,mba,consultant,quant,stats,petroleum_geologist,chemical_engineer
3M,data_science,mba,consultant,quant,stats,petroleum_geologist,chemical_engineer
Time Warner,data_science,mba,consultant,quant,stats,petroleum_geologist,chemical_engineer
Charter Communications,data_science,mba,consultant,quant,stats,petroleum_geologist,chemical_engineer
Northwestern Mutual,data_science,mba,consultant,quant,stats,petroleum_geologist,chemical_engineer
Facebook,data_science,mba,consultant,quant,stats,petroleum_geologist,chemical_engineer
Travelers Cos ,data_science,mba,consultant,quant,stats,petroleum_geologist,chemical_engineer
Capital One Financial,data_science,mba,consultant,quant,stats,petroleum_geologist,chemical_engineer
Twenty-First Century Fox,data_science,mba,consultant,quant,stats,petroleum_geologist,chemical_engineer
USAA,data_science,mba,consultant,quant,stats,petroleum_geologist,chemical_engineer
Exelon,data_science,mba,consultant,quant,stats,petroleum_geologist,chemical_engineer
Philip Morris,data_science,mba,consultant,quant,stats,petroleum_geologist,chemical_engineer
Deere,data_science,mba,consultant,quant,stats,petroleum_geologist,chemical_engineer
Kraft Heinz,data_science,mba,consultant,quant,stats,petroleum_geologist,chemical_engineer
Avnet,data_science,mba,consultant,quant,stats,petroleum_geologist,chemical_engineer
Mondelez,data_science,mba,consultant,quant,stats,petroleum_geologist,chemical_engineer
Macy's,data_science,mba,consultant,quant,stats,petroleum_geologist,chemical_engineer
AbbVie,data_science,mba,consultant,quant,stats,petroleum_geologist,chemical_engineer
McDonald's,data_science,mba,consultant,quant,stats,petroleum_geologist,chemical_engineer
DuPont,data_science,mba,consultant,quant,stats,petroleum_geologist,chemical_engineer
Northrop Grumman,data_science,mba,consultant,quant,stats,petroleum_geologist,chemical_engineer
ConocoPhillips,data_science,mba,consultant,quant,stats,petroleum_geologist,chemical_engineer
Raytheon,data_science,mba,consultant,quant,stats,petroleum_geologist,chemical_engineer
Andeavor,data_science,mba,consultant,quant,stats,petroleum_geologist,chemical_engineer
Arrow Electronics,data_science,mba,consultant,quant,stats,petroleum_geologist,chemical_engineer
Quam,data_science,mba,consultant,quant,stats,petroleum_geologist,chemical_engineer
Progressive,data_science,mba,consultant,quant,stats,petroleum_geologist,chemical_engineer
Duke Energy,data_science,mba,consultant,quant,stats,petroleum_geologist,chemical_engineer
Enterprise Products Partners,data_science,mba,consultant,quant,stats,petroleum_geologist,chemical_engineer
Amgen,data_science,mba,consultant,quant,stats,petroleum_geologist,chemical_engineer
US Foods Holding,data_science,mba,consultant,quant,stats,petroleum_geologist,chemical_engineer
US Bancorp,data_science,mba,consultant,quant,stats,petroleum_geologist,chemical_engineer
Aflac,data_science,mba,consultant,quant,stats,petroleum_geologist,chemical_engineer
Sears,data_science,mba,consultant,quant,stats,petroleum_geologist,chemical_engineer
Dollar General,data_science,mba,consultant,quant,stats,petroleum_geologist,chemical_engineer
AutoNation,data_science,mba,consultant,quant,stats,petroleum_geologist,chemical_engineer
Community Health Systems,data_science,mba,consultant,quant,stats,petroleum_geologist,chemical_engineer
Starbucks,data_science,mba,consultant,quant,stats,petroleum_geologist,chemical_engineer
Eli Lilly,data_science,mba,consultant,quant,stats,petroleum_geologist,chemical_engineer
International Paper,data_science,mba,consultant,quant,stats,petroleum_geologist,chemical_engineer
Tenet Healthcare,data_science,mba,consultant,quant,stats,petroleum_geologist,chemical_engineer
Abbott Laboratories,data_science,mba,consultant,quant,stats,petroleum_geologist,chemical_engineer
Dollar Tree,data_science,mba,consultant,quant,stats,petroleum_geologist,chemical_engineer
Whirlpool,data_science,mba,consultant,quant,stats,petroleum_geologist,chemical_engineer
Southwest Airlines,data_science,mba,consultant,quant,stats,petroleum_geologist,chemical_engineer
Emerson Electric,data_science,mba,consultant,quant,stats,petroleum_geologist,chemical_engineer
Staples,data_science,mba,consultant,quant,stats,petroleum_geologist,chemical_engineer
Plains GP,data_science,mba,consultant,quant,stats,petroleum_geologist,chemical_engineer
Penske Automotive Group,data_science,mba,consultant,quant,stats,petroleum_geologist,chemical_engineer
Union Pacific,data_science,mba,consultant,quant,stats,petroleum_geologist,chemical_engineer
Danaher,data_science,mba,consultant,quant,stats,petroleum_geologist,chemical_engineer
Southern,data_science,mba,consultant,quant,stats,petroleum_geologist,chemical_engineer
ManpowerGroup,data_science,mba,consultant,quant,stats,petroleum_geologist,chemical_engineer
Bristol-Myers Squibb,data_science,mba,consultant,quant,stats,petroleum_geologist,chemical_engineer
Altria Group,data_science,mba,consultant,quant,stats,petroleum_geologist,chemical_engineer
Fluor,data_science,mba,consultant,quant,stats,petroleum_geologist,chemical_engineer
Kohl's,data_science,mba,consultant,quant,stats,petroleum_geologist,chemical_engineer
Lear,data_science,mba,consultant,quant,stats,petroleum_geologist,chemical_engineer
Jabil,data_science,mba,consultant,quant,stats,petroleum_geologist,chemical_engineer
Hartford Financial Services Group,data_science,mba,consultant,quant,stats,petroleum_geologist,chemical_engineer
Thermo Fisher Scientific,data_science,mba,consultant,quant,stats,petroleum_geologist,chemical_engineer
Kimberly-Clark,data_science,mba,consultant,quant,stats,petroleum_geologist,chemical_engineer
Molina Healthcare,data_science,mba,consultant,quant,stats,petroleum_geologist,chemical_engineer
PG&E,data_science,mba,consultant,quant,stats,petroleum_geologist,chemical_engineer
Supervalu,data_science,mba,consultant,quant,stats,petroleum_geologist,chemical_engineer
Cummins,data_science,mba,consultant,quant,stats,petroleum_geologist,chemical_engineer
CenturyLink,data_science,mba,consultant,quant,stats,petroleum_geologist,chemical_engineer
AECOM,data_science,mba,consultant,quant,stats,petroleum_geologist,chemical_engineer
Xerox,data_science,mba,consultant,quant,stats,petroleum_geologist,chemical_engineer
Marriott,data_science,mba,consultant,quant,stats,petroleum_geologist,chemical_engineer
Paccar,data_science,mba,consultant,quant,stats,petroleum_geologist,chemical_engineer
General Mills,data_science,mba,consultant,quant,stats,petroleum_geologist,chemical_engineer
PNC Financial Services Group,data_science,mba,consultant,quant,stats,petroleum_geologist,chemical_engineer
American Electric Power,data_science,mba,consultant,quant,stats,petroleum_geologist,chemical_engineer
Icahn Enterprises,data_science,mba,consultant,quant,stats,petroleum_geologist,chemical_engineer
Nucor,data_science,mba,consultant,quant,stats,petroleum_geologist,chemical_engineer
NextEra Energy,data_science,mba,consultant,quant,stats,petroleum_geologist,chemical_engineer
Performance Food Group,data_science,mba,consultant,quant,stats,petroleum_geologist,chemical_engineer
PBF Energy,data_science,mba,consultant,quant,stats,petroleum_geologist,chemical_engineer
Halliburton,data_science,mba,consultant,quant,stats,petroleum_geologist,chemical_engineer
CarMax,data_science,mba,consultant,quant,stats,petroleum_geologist,chemical_engineer
Freeport-McMoRan,data_science,mba,consultant,quant,stats,petroleum_geologist,chemical_engineer
Whole Foods Market,data_science,mba,consultant,quant,stats,petroleum_geologist,chemical_engineer
Bank of New York Mellon,data_science,mba,consultant,quant,stats,petroleum_geologist,chemical_engineer
Gap,data_science,mba,consultant,quant,stats,petroleum_geologist,chemical_engineer
Omn Group,data_science,mba,consultant,quant,stats,petroleum_geologist,chemical_engineer
Genuine Parts,data_science,mba,consultant,quant,stats,petroleum_geologist,chemical_engineer
DaVita,data_science,mba,consultant,quant,stats,petroleum_geologist,chemical_engineer
Colgate-Palmolive,data_science,mba,consultant,quant,stats,petroleum_geologist,chemical_engineer
PPG Industries,data_science,mba,consultant,quant,stats,petroleum_geologist,chemical_engineer
Goodyear Tire & Rubber,data_science,mba,consultant,quant,stats,petroleum_geologist,chemical_engineer
