company,job_type_1,job_type_2,job_type_3,job_type_4,job_type_5,job_type_6,job_type_7,job_type_8
Morgan Stanley,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Massachusetts Mutual Life Insurance,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Goldman Sachs,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Energy Transfer Equity,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
TIAA,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Oracle,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Tyson Foods,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
United Continental,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Allstate,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Publix Super Markets,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
American Express,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
TJX,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Nike,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Exelon,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
General Dynamics,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Rite Aid,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Gilead Sciences,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
CHS,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
3M,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Time Warner,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Charter Communications,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Northwestern Mutual,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Facebook,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Travelers,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Capital One Financial,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Twenty-First Century Fox,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
USAA,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Philip Morris,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Deere,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Kraft Heinz,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Avnet,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Mondelez,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
Macy's,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
AbbVie,data_science,stats,quant,mba,petroleum_geologist,chemical_engineer,consultant,law
