,list_id,company,rank,source,job_type_1,job_type_2,job_type_3,job_type_4,job_type_5,job_type_6,job_type_7
150,f1000_149,Kohls,150.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
151,f1000_150,Lear,151.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
154,f1000_153,Thermo Fisher Scientific,154.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
155,f1000_154,Kimberly-Clark,155.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
156,f1000_155,Molina Healthcare,156.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
157,f1000_156,Pacific Gas and Electric Company,157.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
161,f1000_160,Aecom,161.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
168,f1000_167,Icahn Enterprises,168.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
169,f1000_168,Nucor,169.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
171,f1000_170,Performance Food Group,171.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
172,f1000_171,PBF Energy,172.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
173,f1000_172,Halliburton,173.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
175,f1000_174,Freeport-McMoRan,175.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
176,f1000_175,Whole Foods Market,176.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
178,f1000_177,GAP,178.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
179,f1000_178,Omnicom Group,179.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
180,f1000_179,Genuine Parts,180.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
186,f1000_185,DISH Network,186.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
189,f1000_188,INTL FCStone,189.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
190,f1000_189,WestRock,190.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
191,f1000_190,XPO Logistics,191.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
195,f1000_194,WellCare Health Plans,195.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
196,f1000_195,FirstEnergy,196.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
197,f1000_196,Conagra Brands,197.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
198,f1000_197,Synnex,198.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
201,f1000_200,Waste Management,201.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
202,f1000_201,Illinois Tool Works,202.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
205,f1000_204,Cognizant Technology Solutions,205.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
206,f1000_205,Texas Instruments,206.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
207,f1000_206,Lincoln National,207.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
210,f1000_209,Marsh & McLennan,210.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
213,f1000_212,Loews,213.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
214,f1000_213,CBRE Group,214.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
218,f1000_217,Guardian Life Insurance Company,218.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
219,f1000_218,Ross Stores,219.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
221,f1000_220,J.C. Penney,221.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
222,f1000_221,Farmers Insurance Exchange,222.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
223,f1000_222,Reynolds American,223.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
225,f1000_224,Becton Dickinson,225.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
227,f1000_226,Principal Financial,227.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
228,f1000_227,Arconic,228.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
231,f1000_230,Devon Energy,231.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
235,f1000_234,Edison,235.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
237,f1000_236,NGL Energy Partners,237.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
239,f1000_238,Ameriprise Financial,239.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
242,f1000_241,First Data,242.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
244,f1000_243,Toys 'R' Us,244.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
245,f1000_244,BB&T,245.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
247,f1000_246,Core-Mark,247.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
248,f1000_247,Biogen,248.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
250,f1000_249,Stanley Black & Decker,250.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
251,f1000_250,Parker Hannifin,251.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
252,f1000_251,Stryker,252.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
253,f1000_252,Estee Lauder,253.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
255,f1000_254,BlackRock,255.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
258,f1000_257,Unum Group,258.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
262,f1000_261,Leucadia National,262.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
265,f1000_264,Applied Materials,265.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
266,f1000_265,Voya Financial,266.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
267,f1000_266,Mastercard,267.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
268,f1000_267,Priceline.com,268.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
269,f1000_268,Liberty Interactive,269.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
271,f1000_270,State Street,271.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
274,f1000_273,HollyFrontier,274.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
276,f1000_275,Universal Health Services,276.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
279,f1000_278,United States Steel,279.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
280,f1000_279,Sempra Energy,280.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
282,f1000_281,Grainger,282.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
283,f1000_282,Autoliv,283.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
288,f1000_287,Owens & Minor,288.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
289,f1000_288,Huntsman,289.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
290,f1000_289,Laboratory Corp. of America,290.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
295,f1000_294,Hormel Foods,295.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
296,f1000_295,Hertz Global,296.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
297,f1000_296,MGM Resorts,297.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
298,f1000_297,Corning,298.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
301,f1000_300,FIS Global,301.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
302,f1000_301,Pacific Life,302.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
304,f1000_303,LKQ,304.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
305,f1000_304,BorgWarner,305.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
307,f1000_306,CST Brands,307.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
308,f1000_307,PSEG,308.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
309,f1000_308,Eastman Chemical,309.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
310,f1000_309,eBay,310.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
311,f1000_310,Mohawk Industries,311.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
312,f1000_311,Oneok,312.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
313,f1000_312,Frontier Communications,313.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
314,f1000_313,Netflix,314.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
315,f1000_314,American Family Insurance Group,315.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
316,f1000_315,Thrivent Financial for Lutherans,316.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
317,f1000_316,Expedia,317.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
318,f1000_317,Lithia Motors,318.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
319,f1000_318,Avis Budget Group,319.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
320,f1000_319,Reliance Steel & Aluminum,320.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
322,f1000_321,Tenneco,322.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
324,f1000_323,Peter Kiewit Sons',324.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
325,f1000_324,United Natural Foods,325.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
328,f1000_327,Newmont Mining,328.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
332,f1000_331,News Corp,332.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
333,f1000_332,Crown,333.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
334,f1000_333,Global Partners,334.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
335,f1000_334,PVH,335.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
336,f1000_335,Level 3 Communications,336.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
337,f1000_336,Navistar,337.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
339,f1000_338,Campbell Soup,339.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
344,f1000_343,Anadarko Petroleum,344.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
346,f1000_345,J.M. Smucker,346.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
347,f1000_346,Steel Dynamics,347.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
348,f1000_347,Foot Locker,348.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
349,f1000_348,Western Refining,349.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
350,f1000_349,SpartanNash,350.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
352,f1000_351,Zimmer Biomet,352.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
354,f1000_353,W.R. Berkley,354.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
355,f1000_354,Quanta Services,355.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
356,f1000_355,EOG Resources,356.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
358,f1000_357,Eversource Energy,358.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
360,f1000_359,EMCOR Group,360.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
361,f1000_360,Assurant,361.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
366,f1000_365,Quest Diagnostics,366.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
368,f1000_367,WEC Energy Group,368.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
369,f1000_368,Hershey,369.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
372,f1000_371,Masco,372.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
374,f1000_373,LifePoint Health,374.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
377,f1000_376,Mosaic,377.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
378,f1000_377,Alliance Data Systems,378.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
379,f1000_378,Computer Sciences,379.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
380,f1000_379,Huntington Ingalls Industries,380.0,fortune1000,data_science,computer_science,mba,mba_finance,stats,quant,mba_analyst
