list_id,company,job_type
f1000_0,Walmart,quant
f1000_1,Geico,quant
f1000_2,Apple,quant
f1000_3,ExxonMobil,quant
f1000_4,McKesson,quant
f1000_5,UnitedHealth,quant
f1000_6,CVS Health,quant
f1000_7,General Motors,quant
f1000_8,AT&T,quant
f1000_9,Ford Motor,quant
f1000_10,AmerisourceBergen,quant
f1000_11,Amazon,quant
f1000_12,General Electric,quant
f1000_13,Verizon Communications,quant
f1000_14,Cardinal Health,quant
f1000_15,Costco,quant
f1000_16,Walgreens,quant
f1000_17,Kroger,quant
f1000_18,Chevron,quant
f1000_19,Fannie Mae,quant
f1000_20,J.P. Morgan Chase,quant
f1000_21,Express Scripts,quant
f1000_22,Home Depot,quant
f1000_23,Boeing,quant
f1000_24,Wells Fargo,quant
f1000_25,Bank of America,quant
f1000_26,Alphabet,quant
f1000_27,Microsoft,quant
f1000_28,Anthem,quant
f1000_29,Citigroup,quant
f1000_30,Comcast,quant
f1000_31,IBM,quant
f1000_32,State Farm Insurance,quant
f1000_33,Phillips 66,quant
f1000_34,Johnson & Johnson,quant
f1000_35,Procter & Gamble,quant
f1000_36,Valero Energy,quant
f1000_37,Target,quant
f1000_38,Freddie Mac,quant
f1000_39,Lowe's,quant
f1000_40,Dell Technologies,quant
f1000_41,MetLife,quant
f1000_42,Aetna,quant
f1000_43,PepsiCo,quant
f1000_44,Archer Daniels Midland,quant
f1000_45,UPS,quant
f1000_46,Intel,quant
f1000_47,Prudential Financial,quant
f1000_48,Albertsons,quant
f1000_49,United Technologies,quant
f1000_50,Marathon Petroleum,quant
f1000_51,Disney,quant
f1000_52,Humana,quant
f1000_53,Pfizer,quant
f1000_54,AIG,quant
f1000_55,Lockheed Martin,quant
f1000_56,Sysco,quant
f1000_57,FedEx,quant
f1000_58,Hewlett Packard Enterprise,quant
f1000_59,Cisco Systems,quant
f1000_60,HP,quant
f1000_61,Dow Chemical,quant
f1000_62,HCA,quant
f1000_63,Coca-Cola,quant
f1000_64,New York Life Insurance,quant
f1000_65,Centene,quant
f1000_66,American Airlines,quant
f1000_67,Nationwide,quant
f1000_68,Merck,quant
f1000_69,Cigna,quant
f1000_70,Delta Air Lines,quant
f1000_71,Best Buy,quant
f1000_72,Honeywell,quant
f1000_73,Caterpillar,quant
f1000_74,Liberty Mutual Insurance,quant
f1000_75,Morgan Stanley,quant
f1000_76,Massachusetts Mutual Life Insurance,quant
f1000_77,Goldman Sachs,quant
f1000_78,Energy Transfer Equity,quant
f1000_79,TIAA,quant
f1000_80,Oracle,quant
f1000_81,Tyson Foods,quant
f1000_82,United Continental,quant
f1000_83,Allstate,quant
f1000_84,Publix Super Markets,quant
f1000_85,American Express,quant
f1000_86,TJX,quant
f1000_87,Nike,quant
f1000_88,Exelon,quant
f1000_89,General Dynamics,quant
f1000_90,Rite Aid,quant
f1000_91,Gilead Sciences,quant
f1000_92,CHS,quant
f1000_93,3M,quant
f1000_94,Time Warner,quant
f1000_95,Charter Communications,quant
f1000_96,Northwestern Mutual,quant
f1000_97,Facebook,quant
f1000_98,Travelers,quant
f1000_99,Capital One Financial,quant
f1000_100,Twenty-First Century Fox,quant
f1000_101,USAA,quant
f1000_102,World Fuel Services,quant
f1000_103,Philip Morris,quant
f1000_104,Deere,quant
f1000_105,Kraft Heinz,quant
f1000_106,Tech Data,quant
f1000_107,Avnet,quant
f1000_108,Mondelez,quant
f1000_109,Macy's,quant
f1000_110,AbbVie,quant
f1000_111,McDonald's,quant
f1000_112,DuPont,quant
f1000_113,Northrop Grumman,quant
f1000_114,ConocoPhillips,quant
f1000_115,Raytheon,quant
f1000_116,Andeavor,quant
f1000_117,Arrow Electronics,quant
f1000_118,Qualcomm,quant
f1000_119,Progressive,quant
f1000_120,Duke Energy,quant
f1000_121,Enterprise Products Partners,quant
f1000_122,Amgen,quant
f1000_123,US Foods,quant
f1000_124,U.S. Bank,quant
f1000_125,Aflac,quant
f1000_126,Sears,quant
f1000_127,Dollar General,quant
f1000_128,AutoNation,quant
f1000_129,Community Health Systems,quant
f1000_130,Starbucks,quant
f1000_131,Eli Lilly,quant
f1000_132,International Paper,quant
f1000_133,Tenet Healthcare,quant
f1000_134,Abbott Laboratories,quant
f1000_135,Dollar Tree,quant
f1000_136,Whirlpool,quant
f1000_137,Southwest Airlines,quant
f1000_138,Emerson Electric,quant
f1000_139,Staples,quant
f1000_140,Plains GP,quant
f1000_141,Penske Automotive,quant
f1000_142,Union Pacific,quant
f1000_143,Danaher,quant
f1000_144,Southern,quant
f1000_145,ManpowerGroup,quant
f1000_146,Bristol-Myers Squibb,quant
f1000_147,Altria,quant
f1000_148,Fluor,quant
f1000_149,Kohl's,quant
f1000_150,Lear,quant
f1000_151,Jabil,quant
f1000_152,Hartford Financial Services,quant
f1000_153,Thermo Fisher Scientific,quant
f1000_154,Kimberly-Clark,quant
f1000_155,Molina Healthcare,quant
f1000_156,PG&E,quant
f1000_157,Supervalu,quant
f1000_158,Cummins,quant
f1000_159,CenturyLink,quant
f1000_160,Aecom,quant
f1000_161,Xerox,quant
f1000_162,Marriott,quant
f1000_163,Paccar,quant
f1000_164,General Mills,quant
f1000_165,PNC Financial Services,quant
f1000_166,American Electric Power,quant
f1000_167,Icahn Enterprises,quant
f1000_168,Nucor,quant
