list_id,company,job_keyword,url,date
f1000_86,TJX,data scientist,https://www.indeed.com/jobs?q=data+scientist+company%3ATJX&l=Anywhere&jt=fulltime,2019-01-18
f1000_88,Exelon,data scientist,https://www.indeed.com/jobs?q=data+scientist+company%3AExelon&l=Anywhere&jt=fulltime,2019-01-18
f1000_88,Exelon,machine learning,https://www.indeed.com/jobs?q=machine+learning+company%3AExelon&l=Anywhere&jt=fulltime,2019-01-18
f1000_90,Rite Aid,data scientist,https://www.indeed.com/jobs?q=data+scientist+company%3ARite+Aid&l=Anywhere&jt=fulltime,2019-01-18
f1000_90,Rite Aid,machine learning,https://www.indeed.com/jobs?q=machine+learning+company%3ARite+Aid&l=Anywhere&jt=fulltime,2019-01-18
f1000_92,CHS,data scientist,https://www.indeed.com/jobs?q=data+scientist+company%3ACHS&l=Anywhere&jt=fulltime,2019-01-18
f1000_92,CHS,machine learning,https://www.indeed.com/jobs?q=machine+learning+company%3ACHS&l=Anywhere&jt=fulltime,2019-01-18
f1000_96,Northwestern Mutual,data scientist,https://www.indeed.com/jobs?q=data+scientist+company%3ANorthwestern+Mutual&l=Anywhere&jt=fulltime,2019-01-18
f1000_96,Northwestern Mutual,machine learning,https://www.indeed.com/jobs?q=machine+learning+company%3ANorthwestern+Mutual&l=Anywhere&jt=fulltime,2019-01-18
f1000_100,Twenty-First Century Fox,data scientist,https://www.indeed.com/jobs?q=data+scientist+company%3ATwenty-First+Century+Fox&l=Anywhere&jt=fulltime,2019-01-18
f1000_100,Twenty-First Century Fox,machine learning,https://www.indeed.com/jobs?q=machine+learning+company%3ATwenty-First+Century+Fox&l=Anywhere&jt=fulltime,2019-01-18
f1000_102,World Fuel Services,data scientist,https://www.indeed.com/jobs?q=data+scientist+company%3AWorld+Fuel+Services&l=Anywhere&jt=fulltime,2019-01-18
f1000_103,Philip Morris,data scientist,https://www.indeed.com/jobs?q=data+scientist+company%3APhilip+Morris&l=Anywhere&jt=fulltime,2019-01-18
f1000_103,Philip Morris,machine learning,https://www.indeed.com/jobs?q=machine+learning+company%3APhilip+Morris&l=Anywhere&jt=fulltime,2019-01-18
f1000_107,Avnet,data scientist,https://www.indeed.com/jobs?q=data+scientist+company%3AAvnet&l=Anywhere&jt=fulltime,2019-01-18
f1000_107,Avnet,machine learning,https://www.indeed.com/jobs?q=machine+learning+company%3AAvnet&l=Anywhere&jt=fulltime,2019-01-18
f1000_109,Macy's,data scientist,https://www.indeed.com/jobs?q=data+scientist+company%3AMacy%27s&l=Anywhere&jt=fulltime,2019-01-18
f1000_111,McDonald's,data scientist,https://www.indeed.com/jobs?q=data+scientist+company%3AMcDonald%27s&l=Anywhere&jt=fulltime,2019-01-18
f1000_114,ConocoPhillips,data scientist,https://www.indeed.com/jobs?q=data+scientist+company%3AConocoPhillips&l=Anywhere&jt=fulltime,2019-01-18
f1000_114,ConocoPhillips,machine learning,https://www.indeed.com/jobs?q=machine+learning+company%3AConocoPhillips&l=Anywhere&jt=fulltime,2019-01-18
f1000_116,Andeavor,data scientist,https://www.indeed.com/jobs?q=data+scientist+company%3AAndeavor&l=Anywhere&jt=fulltime,2019-01-18
f1000_116,Andeavor,machine learning,https://www.indeed.com/jobs?q=machine+learning+company%3AAndeavor&l=Anywhere&jt=fulltime,2019-01-18
f1000_117,Arrow Electronics,data scientist,https://www.indeed.com/jobs?q=data+scientist+company%3AArrow+Electronics&l=Anywhere&jt=fulltime,2019-01-18
f1000_117,Arrow Electronics,machine learning,https://www.indeed.com/jobs?q=machine+learning+company%3AArrow+Electronics&l=Anywhere&jt=fulltime,2019-01-18
f1000_118,Qualcomm,data scientist,https://www.indeed.com/jobs?q=data+scientist+company%3AQualcomm&l=Anywhere&jt=fulltime,2019-01-18
f1000_120,Duke Energy,data scientist,https://www.indeed.com/jobs?q=data+scientist+company%3ADuke+Energy&l=Anywhere&jt=fulltime,2019-01-18
f1000_120,Duke Energy,machine learning,https://www.indeed.com/jobs?q=machine+learning+company%3ADuke+Energy&l=Anywhere&jt=fulltime,2019-01-18
f1000_125,Aflac,data scientist,https://www.indeed.com/jobs?q=data+scientist+company%3AAflac&l=Anywhere&jt=fulltime,2019-01-18
f1000_125,Aflac,machine learning,https://www.indeed.com/jobs?q=machine+learning+company%3AAflac&l=Anywhere&jt=fulltime,2019-01-18
f1000_126,Sears,data scientist,https://www.indeed.com/jobs?q=data+scientist+company%3ASears&l=Anywhere&jt=fulltime,2019-01-18
f1000_126,Sears,machine learning,https://www.indeed.com/jobs?q=machine+learning+company%3ASears&l=Anywhere&jt=fulltime,2019-01-18
f1000_127,Dollar General,data scientist,https://www.indeed.com/jobs?q=data+scientist+company%3ADollar+General&l=Anywhere&jt=fulltime,2019-01-18
f1000_128,AutoNation,data scientist,https://www.indeed.com/jobs?q=data+scientist+company%3AAutoNation&l=Anywhere&jt=fulltime,2019-01-18
f1000_128,AutoNation,machine learning,https://www.indeed.com/jobs?q=machine+learning+company%3AAutoNation&l=Anywhere&jt=fulltime,2019-01-18
f1000_129,Community Health Systems,data scientist,https://www.indeed.com/jobs?q=data+scientist+company%3ACommunity+Health+Systems&l=Anywhere&jt=fulltime,2019-01-18
f1000_133,Tenet Healthcare,data scientist,https://www.indeed.com/jobs?q=data+scientist+company%3ATenet+Healthcare&l=Anywhere&jt=fulltime,2019-01-18
f1000_133,Tenet Healthcare,machine learning,https://www.indeed.com/jobs?q=machine+learning+company%3ATenet+Healthcare&l=Anywhere&jt=fulltime,2019-01-18
f1000_135,Dollar Tree,data scientist,https://www.indeed.com/jobs?q=data+scientist+company%3ADollar+Tree&l=Anywhere&jt=fulltime,2019-01-18
f1000_135,Dollar Tree,machine learning,https://www.indeed.com/jobs?q=machine+learning+company%3ADollar+Tree&l=Anywhere&jt=fulltime,2019-01-18
f1000_137,Southwest Airlines,data scientist,https://www.indeed.com/jobs?q=data+scientist+company%3ASouthwest+Airlines&l=Anywhere&jt=fulltime,2019-01-18
f1000_137,Southwest Airlines,machine learning,https://www.indeed.com/jobs?q=machine+learning+company%3ASouthwest+Airlines&l=Anywhere&jt=fulltime,2019-01-18
f1000_138,Emerson Electric,data scientist,https://www.indeed.com/jobs?q=data+scientist+company%3AEmerson+Electric&l=Anywhere&jt=fulltime,2019-01-18
f1000_138,Emerson Electric,machine learning,https://www.indeed.com/jobs?q=machine+learning+company%3AEmerson+Electric&l=Anywhere&jt=fulltime,2019-01-18
f1000_140,Plains GP,data scientist,https://www.indeed.com/jobs?q=data+scientist+company%3APlains+GP&l=Anywhere&jt=fulltime,2019-01-18
f1000_140,Plains GP,machine learning,https://www.indeed.com/jobs?q=machine+learning+company%3APlains+GP&l=Anywhere&jt=fulltime,2019-01-18
f1000_141,Penske Automotive,data scientist,https://www.indeed.com/jobs?q=data+scientist+company%3APenske+Automotive&l=Anywhere&jt=fulltime,2019-01-18
f1000_141,Penske Automotive,machine learning,https://www.indeed.com/jobs?q=machine+learning+company%3APenske+Automotive&l=Anywhere&jt=fulltime,2019-01-18
