cid,list_id,company,position,office,office_state,job_type
c01,glassdoor_25,23andMe,Scientist I/II - Biology,South San Francisco,CA,data_science
c02,f1000_93,3M,Data Scientist,Maplewood,MN,data_science
c03,f1000_239,ADP,Lead Data Scientist,New York,NY,data_science
c04,f1000_54,AIG,Senior Developer for AI/Machine Learning,Fort Worth,TX,data_science
c05,f1000_8,AT&T,Senior-Data Scientist,San Francisco,CA,data_science
c06,f1000_110,AbbVie,Senior Data Scientist I - Bioinformatics Developer,Worcester,MA,data_science
c07,f1000_134,Abbott Laboratories,Senior Data Analytics Engineer - Machine Learning,Alameda,CA,data_science
c08,vault_109,Accenture,Customer Service New Associate,Austin,TX,consultant
c09,nasdaq_ADBE,Adobe,Senior Data Scientist,San Jose,CA,data_science
c10,f1000_291,Advance Auto Parts,Associate Data Scientist,Raleigh,NC,data_science
c11,f1000_564,Advanced Micro Devices,Sr Machine Learning - HPC,Bellevue,WA,data_science
c12,f1000_160,Aecom,Marine Scientist,Chelmsford,MA,data_science
c13,f1000_42,Aetna,Sr Data Scientist,New York,NY,data_science
c14,f1000_575,Agilent Technologies,Data Analyst,Wilmington,DE,data_science
c15,cnbc_2,Airbnb,Software Engineer - Machine Learning - Trips Platform,San Francisco,CA,data_science
c16,vault_28,Akin Gump Strauss Hauer & Feld,Marketing Technology Coordinator,Washington,DC,mba
c17,f1000_48,Albertsons,Director of Data Science,Pleasanton,CA,data_science
c18,f1000_834,Alere,Certifying Scientist,Santa Rosa,CA,data_science
c19,f1000_955,Alliance,Data Scientist,Woodland,CA,data_science
c20,f1000_83,Allstate,Data Science Manager,Charlotte,NC,data_science
c21,f1000_285,Ally Financial,Cyber Security Data Engineer,Charlotte,NC,data_science
c22,vault_119,Alvarez & Marsal,Tax Associate,Morristown,NJ,consultant
c23,f1000_66,American Airlines,Consultant/Senior Consultant - IT Operations Research and Advanced Analytics,Fort Worth,TX,data_science
c24,f1000_592,American Axle & Manufacturing,Lead Data Scientist,Southfield,MI,data_science
c25,f1000_314,American Family Insurance,Senior Data Science Engineer,Madison,WI,data_science
c26,f1000_238,Ameriprise Financial,Senior Software Engineer - Data Science Cloud,Minneapolis,MN,data_science
c27,f1000_122,Amgen,Senior Associate Data Scientist,Thousand Oaks,CA,data_science
c28,f1000_343,Anadarko Petroleum,Sr Reservoir Engineer DB Analytics & Data Science,Midland,TX,data_science
c29,f1000_659,Analog Devices,Signal Processing Research Scientist,Boston,MA,data_science
c30,vault_118,Analysis,ABA Consultant/ Coordinator,San Francisco Bay Area,CA,consultant
c31,f1000_28,Anthem,Data Scientist,Chicago,IL,data_science
c32,cnbc_47,Apeel Sciences,Field Application Scientist,Santa Barbara,CA,data_science
c33,nasdaq_APPF,AppFolio,Sr Software Engineer - Machine Learning,Santa Barbara,CA,data_science
c34,f1000_2,Apple,Sr Data Scientist,Santa Clara Valley,CA,data_science
c35,f1000_264,Applied Materials,Data Scientist,Santa Clara,CA,data_science
c36,f1000_44,Archer Daniels Midland,SR Research Analytical Chemist - - IL,Decatur,IL,data_science
c37,f1000_227,Arconic,Data Scientist,Carson,CA,data_science
c38,vault_219,Armanino,Tax Manager - Middle Market,San Jose,CA,mba
c39,nasdaq_TEAM,Atlassian,Principal Data Scientist,San Francisco,CA,data_science
c40,f1000_397,Auto-Owners Insurance,Data Scientist - Experienced,Lansing,MI,data_science
c41,f1000_927,Autodesk,Principal AI Researcher,San Francisco,CA,data_science
c42,f1000_244,BB&T,Senior Data Engineer,Winston-Salem,NC,data_science
c43,vault_232,BKD,Business Analyst,Springfield,MO,mba
c44,vault_221,BPM,IT Business Analyst,San Francisco Bay Area,CA,mba
c45,nasdaq_BIDU,Baidu,Machine Learning Research Scientist,Sunnyvale,CA,data_science
c46,vault_101,Bain & Company,Graphics Associate,Dallas,TX,consultant
c47,vault_185,Baird,Baird Equity Asset Management Research Analyst,Milwaukee,WI,quant
c48,f1000_284,Baker Hughes,Staff Data Scientist - - NV,Minden,NV,data_science
c49,vault_209,Baker Tilly Virchow Krause,ERP Consulting Project Manager-Manufacturing,Milwaukee,WI,mba
c50,f1000_305,Ball,Research & Development Analyst Senior,Albuquerque,NM,data_science
c51,vault_96,Ballard Spahr,Data Analyst/Technical Writer,Philadelphia,PA,mba
c52,f1000_25,Bank of America,Senior Data Scientist,Charlotte,NC,data_science
c53,f1000_224,Becton Dickinson,Senior Manager Data Science,San Diego,CA,data_science
