web_company,job,location,job_keyword,job_type,qry_company,list_id,keywords,backup_keys,company,cid_match,maybe_cid_match,cid_match_count,maybe_cid_match_count,internship,ideal_job,ideal_count,bkup_job,bkup_count,clean_location,is_ctyst,office,office_state,position,job_descr_len,rank
23andMe,Therapeutics Portfolio & Project Manager / Sr. Manager,"South San Francisco, CA 94080",project manager,mba,23andMe,glassdoor_25,"['business analyst', 'financial analyst', 'project manager']","['marketing', 'analyst', 'MBA']",23andMe,True,False,11.0,0.0,False,True,1.0,False,2.0,"South San Francisco, CA",True,South San Francisco,CA,Therapeutics Portfolio & Project Manager / Sr Manager,54,1.0
2U,Business Analyst III,"New York, NY",business analyst,mba,2U,nasdaq_TWOU,"['business analyst', 'financial analyst', 'project manager']","['marketing', 'analyst', 'MBA']",2U,True,False,21.0,0.0,False,True,1.0,False,6.0,"New York, NY",True,New York,NY,Business Analyst III,20,1.0
3D Systems,Project Manager,"San Diego, CA",project manager,mba,3D Systems,nasdaq_DDD,"['business analyst', 'financial analyst', 'project manager']","['marketing', 'analyst', 'MBA']",3D Systems,True,False,12.0,0.0,False,True,2.0,False,3.0,"San Diego, CA",True,San Diego,CA,Project Manager,15,1.0
3M,"Business Analyst ∞ (Maplewood, MN)","Maplewood, MN",business analyst,mba,3M,f1000_93,"['business analyst', 'financial analyst', 'project manager']","['marketing', 'analyst', 'MBA']",3M,True,False,30.0,0.0,False,True,8.0,False,13.0,"Maplewood, MN",True,Maplewood,MN,Business Analyst,34,1.0
8x8 Inc.,Senior Financial Analyst,"San Jose, CA",financial analyst,mba,8x8,nasdaq_EGHT,"['business analyst', 'financial analyst', 'project manager']","['marketing', 'analyst', 'MBA']",8x8 Inc ,False,True,0.0,17.0,False,True,1.0,False,6.0,"San Jose, CA",True,San Jose,CA,Senior Financial Analyst,24,1.0
A10 Networks,Technical Project Manager,"San Jose, CA 95131 (North Valley area)",project manager,mba,A10 Networks,nasdaq_ATEN,"['business analyst', 'financial analyst', 'project manager']","['marketing', 'analyst', 'MBA']",A10 Networks,True,False,3.0,0.0,False,True,1.0,False,3.0,"San Jose, CA",True,San Jose,CA,Technical Project Manager,25,1.0
ABC Supply Co. Inc,Business Analyst HR/Payroll,"Beloit, WI 53511",business analyst,mba,ABC Supply Co,glassdoor_103,"['business analyst', 'financial analyst', 'project manager']","['marketing', 'analyst', 'MBA']",ABC Supply Co Inc,False,True,0.0,5.0,False,True,1.0,False,1.0,"Beloit, WI",True,Beloit,WI,Business Analyst HR/Payroll,27,1.0
ABM Industries,PROJECT MANAGER,"Austin, TX 78758 (North Austin area)",project manager,mba,ABM Industries,f1000_499,"['business analyst', 'financial analyst', 'project manager']","['marketing', 'analyst', 'MBA']",ABM Industries,True,False,25.0,0.0,False,True,12.0,False,9.0,"Austin, TX",True,Austin,TX,PROJECT MANAGER,15,1.0
ACI Worldwide,Project Manager,"Norcross, GA",project manager,mba,ACI Worldwide,nasdaq_ACIW,"['business analyst', 'financial analyst', 'project manager']","['marketing', 'analyst', 'MBA']",ACI Worldwide,True,False,24.0,0.0,False,True,3.0,False,11.0,"Norcross, GA",True,Norcross,GA,Project Manager,15,1.0
ADP,Project Manager I,"Norfolk, VA 23510",project manager,mba,ADP,f1000_239,"['business analyst', 'financial analyst', 'project manager']","['marketing', 'analyst', 'MBA']",ADP,True,False,29.0,1.0,False,True,12.0,False,17.0,"Norfolk, VA",True,Norfolk,VA,Project Manager I,17,1.0
The AES Corporation,Street Lighting Project Manager,"Dayton, OH",project manager,mba,AES,f1000_193,"['business analyst', 'financial analyst', 'project manager']","['marketing', 'analyst', 'MBA']",The AES Corporation,False,True,0.0,18.0,False,True,4.0,False,9.0,"Dayton, OH",True,Dayton,OH,Street Lighting Project Manager,31,1.0
AGCO,Advanced Project Manager Job,"Omaha, NE",project manager,mba,AGCO,f1000_369,"['business analyst', 'financial analyst', 'project manager']","['marketing', 'analyst', 'MBA']",AGCO,True,False,19.0,0.0,False,True,1.0,False,10.0,"Omaha, NE",True,Omaha,NE,Advanced Project Manager Job,28,1.0
AGM Management,Executive Assistant/ Assistant Project Manager,"Troy, MI 48083",project manager,mba,AGM,nasdaq_AGMH,"['business analyst', 'financial analyst', 'project manager']","['marketing', 'analyst', 'MBA']",AGM Management,False,True,0.0,4.0,False,True,1.0,False,0.0,"Troy, MI",True,Troy,MI,Executive Assistant/ Assistant Project Manager,46,1.0
AIG,Project Manager,"Houston, TX",project manager,mba,AIG,f1000_54,"['business analyst', 'financial analyst', 'project manager']","['marketing', 'analyst', 'MBA']",AIG,True,False,30.0,0.0,False,True,6.0,False,14.0,"Houston, TX",True,Houston,TX,Project Manager,15,1.0
AK Steel,Financial Analyst,"West Chester, OH 45071",financial analyst,mba,AK Steel,f1000_440,"['business analyst', 'financial analyst', 'project manager']","['marketing', 'analyst', 'MBA']",AK Steel,True,False,12.0,0.0,False,True,2.0,False,2.0,"West Chester, OH",True,West Chester,OH,Financial Analyst,17,1.0
AMC Networks,Project Manager II/Scrum Master,"New York, NY",project manager,mba,AMC Networks,f1000_762,"['business analyst', 'financial analyst', 'project manager']","['marketing', 'analyst', 'MBA']",AMC Networks,True,False,8.0,8.0,False,True,2.0,False,6.0,"New York, NY",True,New York,NY,Project Manager II/Scrum Master,31,1.0
AT&T,Sr. Financial Analyst,"New York, NY",financial analyst,mba,AT&T,f1000_8,"['business analyst', 'financial analyst', 'project manager']","['marketing', 'analyst', 'MBA']",AT&T,True,False,21.0,0.0,False,True,3.0,False,8.0,"New York, NY",True,New York,NY,Sr Financial Analyst,21,1.0
AbbVie,IT Project Manager,"Lake County, IL",project manager,mba,AbbVie,f1000_110,"['business analyst', 'financial analyst', 'project manager']","['marketing', 'analyst', 'MBA']",AbbVie,True,False,30.0,0.0,False,True,6.0,False,16.0,"Lake County, IL",True,Lake County,IL,IT Project Manager,18,1.0
Abbott Laboratories,Project Manager,"Lake Forest, IL",project manager,mba,Abbott Laboratories,f1000_134,"['business analyst', 'financial analyst', 'project manager']","['marketing', 'analyst', 'MBA']",Abbott Laboratories,True,False,30.0,0.0,False,True,16.0,False,11.0,"Lake Forest, IL",True,Lake Forest,IL,Project Manager,15,1.0
Acacia Communications,Sr Financial Analyst,"Maynard, MA 01754",financial analyst,mba,Acacia Communications,nasdaq_ACIA,"['business analyst', 'financial analyst', 'project manager']","['marketing', 'analyst', 'MBA']",Acacia Communications,True,False,6.0,0.0,False,True,2.0,False,2.0,"Maynard, MA",True,Maynard,MA,Sr Financial Analyst,20,1.0
Acadia Healthcare,"Manager, IT Project Management","Franklin, TN 37067",project manager,mba,Acadia Healthcare,f1000_753,"['business analyst', 'financial analyst', 'project manager']","['marketing', 'analyst', 'MBA']",Acadia Healthcare,True,False,8.0,0.0,False,True,2.0,False,3.0,"Franklin, TN",True,Franklin,TN,Manager - IT Project Management,30,1.0
Acceleration Partners,"Associate / Senior Associate, Affiliate Marketing","Chicago, IL",project manager,mba,Acceleration Partners,glassdoor_22,"['business analyst', 'financial analyst', 'project manager']","['marketing', 'analyst', 'MBA']",Acceleration Partners,True,False,3.0,0.0,False,False,0.0,True,3.0,"Chicago, IL",True,Chicago,IL,Associate / Senior Associate - Affiliate Marketing,49,1.0
Accenture,"Data Scientist, Chicago","Chicago, IL",statistics,stats,Accenture,vault_109,"['statistics', 'statistical analyst', 'statistician']","['research', 'scientist', 'survey', 'methodologist', 'quant']",Accenture,True,False,20.0,0.0,False,False,0.0,True,2.0,"Chicago, IL",True,Chicago,IL,Data Scientist,23,1.0
