web_company,job,location,job_keyword,job_type,qry_company,list_id,keywords,backup_keys,company,cid_match,maybe_cid_match,cid_match_count,maybe_cid_match_count,internship,ideal_job,ideal_count,bkup_job,bkup_count,clean_location,is_ctyst,office,office_state,position,job_descr_len,rank
23andMe,"Scientist I/II, Biology","South San Francisco, CA 94080",data scientist,data_science,23andMe,glassdoor_25,"['data scientist', 'machine learning']","['research', 'scientist', 'data', 'AI']",23andMe,True,False,9.0,0.0,False,False,0.0,True,8.0,"South San Francisco, CA",True,South San Francisco,CA,Scientist I/II - Biology,23,1.0
3M,"Data Scientist ∞ (Maplewood, MN)","Maplewood, MN",machine learning,data_science,3M,f1000_93,"['data scientist', 'machine learning']","['research', 'scientist', 'data', 'AI']",3M,True,False,18.0,0.0,False,True,6.0,False,4.0,"Maplewood, MN",True,Maplewood,MN,Data Scientist,32,1.0
ADP,Lead Data Scientist,"New York, NY 10010 (Gramercy area)",data scientist,data_science,ADP,f1000_239,"['data scientist', 'machine learning']","['research', 'scientist', 'data', 'AI']",ADP,True,False,16.0,2.0,False,True,8.0,False,2.0,"New York, NY",True,New York,NY,Lead Data Scientist,19,1.0
AIG,Senior Developer for AI/Machine Learning,"Fort Worth, TX 76177",machine learning,data_science,AIG,f1000_54,"['data scientist', 'machine learning']","['research', 'scientist', 'data', 'AI']",AIG,True,False,10.0,0.0,False,True,1.0,False,1.0,"Fort Worth, TX",True,Fort Worth,TX,Senior Developer for AI/Machine Learning,40,1.0
AT&T,Senior-Data Scientist,"San Francisco, CA",machine learning,data_science,AT&T,f1000_8,"['data scientist', 'machine learning']","['research', 'scientist', 'data', 'AI']",AT&T,True,False,16.0,0.0,False,True,7.0,False,5.0,"San Francisco, CA",True,San Francisco,CA,Senior-Data Scientist,21,1.0
AbbVie,"Senior Data Scientist I, Bioinformatics Developer","Worcester, MA",data scientist,data_science,AbbVie,f1000_110,"['data scientist', 'machine learning']","['research', 'scientist', 'data', 'AI']",AbbVie,True,False,18.0,0.0,False,True,2.0,False,10.0,"Worcester, MA",True,Worcester,MA,Senior Data Scientist I - Bioinformatics Developer,49,1.0
Abbott Laboratories,Senior Data Analytics Engineer - Machine Learning,"Alameda, CA",machine learning,data_science,Abbott Laboratories,f1000_134,"['data scientist', 'machine learning']","['research', 'scientist', 'data', 'AI']",Abbott Laboratories,True,False,15.0,0.0,False,True,3.0,False,8.0,"Alameda, CA",True,Alameda,CA,Senior Data Analytics Engineer - Machine Learning,49,1.0
Accenture,Customer Service New Associate,"Austin, TX 78727",associate,consultant,Accenture,vault_109,"['associate', 'consultant']","['associate', 'consultant']",Accenture,True,False,18.0,0.0,False,True,13.0,False,0.0,"Austin, TX",True,Austin,TX,Customer Service New Associate,30,1.0
Adobe,Senior Data Scientist,"San Jose, CA",data scientist,data_science,Adobe,nasdaq_ADBE,"['data scientist', 'machine learning']","['research', 'scientist', 'data', 'AI']",Adobe,True,False,18.0,0.0,False,True,7.0,False,4.0,"San Jose, CA",True,San Jose,CA,Senior Data Scientist,21,1.0
Advance Auto Parts,Associate Data Scientist,"Raleigh, NC",data scientist,data_science,Advance Auto Parts,f1000_291,"['data scientist', 'machine learning']","['research', 'scientist', 'data', 'AI']",Advance Auto Parts,True,False,6.0,0.0,False,True,2.0,False,0.0,"Raleigh, NC",True,Raleigh,NC,Associate Data Scientist,24,1.0
