list_id,company,job_type
f1000_0,Walmart,stats
f1000_1,Geico,stats
f1000_2,Apple,stats
f1000_3,ExxonMobil,stats
f1000_4,McKesson,stats
f1000_5,UnitedHealth,stats
f1000_6,CVS Health,stats
f1000_7,General Motors,stats
f1000_8,AT&T,stats
f1000_9,Ford Motor,stats
f1000_10,AmerisourceBergen,stats
f1000_11,Amazon,stats
f1000_12,General Electric,stats
f1000_13,Verizon Communications,stats
f1000_14,Cardinal Health,stats
f1000_15,Costco,stats
f1000_16,Walgreens,stats
f1000_17,Kroger,stats
f1000_18,Chevron,stats
f1000_19,Fannie Mae,stats
f1000_20,J.P. Morgan Chase,stats
f1000_21,Express Scripts,stats
f1000_22,Home Depot,stats
f1000_23,Boeing,stats
f1000_24,Wells Fargo,stats
f1000_25,Bank of America,stats
f1000_26,Alphabet,stats
f1000_27,Microsoft,stats
f1000_28,Anthem,stats
f1000_29,Citigroup,stats
f1000_30,Comcast,stats
f1000_31,IBM,stats
f1000_32,State Farm Insurance,stats
f1000_33,Phillips 66,stats
f1000_34,Johnson & Johnson,stats
f1000_35,Procter & Gamble,stats
f1000_36,Valero Energy,stats
f1000_37,Target,stats
f1000_38,Freddie Mac,stats
f1000_39,Lowe's,stats
f1000_40,Dell Technologies,stats
f1000_41,MetLife,stats
f1000_42,Aetna,stats
f1000_43,PepsiCo,stats
f1000_44,Archer Daniels Midland,stats
f1000_45,UPS,stats
f1000_46,Intel,stats
f1000_47,Prudential Financial,stats
f1000_48,Albertsons,stats
f1000_49,United Technologies,stats
f1000_50,Marathon Petroleum,stats
f1000_51,Disney,stats
f1000_52,Humana,stats
f1000_53,Pfizer,stats
f1000_54,AIG,stats
f1000_55,Lockheed Martin,stats
f1000_56,Sysco,stats
f1000_57,FedEx,stats
f1000_58,Hewlett Packard Enterprise,stats
f1000_59,Cisco Systems,stats
f1000_60,HP,stats
f1000_61,Dow Chemical,stats
f1000_62,HCA,stats
f1000_63,Coca-Cola,stats
f1000_64,New York Life Insurance,stats
f1000_65,Centene,stats
f1000_66,American Airlines,stats
f1000_67,Nationwide,stats
f1000_68,Merck,stats
f1000_69,Cigna,stats
f1000_70,Delta Air Lines,stats
f1000_71,Best Buy,stats
f1000_72,Honeywell,stats
f1000_73,Caterpillar,stats
f1000_74,Liberty Mutual Insurance,stats
f1000_75,Morgan Stanley,stats
f1000_76,Massachusetts Mutual Life Insurance,stats
f1000_77,Goldman Sachs,stats
f1000_78,Energy Transfer Equity,stats
f1000_79,TIAA,stats
f1000_80,Oracle,stats
f1000_81,Tyson Foods,stats
f1000_82,United Continental,stats
f1000_83,Allstate,stats
f1000_84,Publix Super Markets,stats
f1000_85,American Express,stats
f1000_86,TJX,stats
f1000_87,Nike,stats
f1000_88,Exelon,stats
f1000_89,General Dynamics,stats
f1000_90,Rite Aid,stats
f1000_91,Gilead Sciences,stats
f1000_92,CHS,stats
f1000_93,3M,stats
f1000_94,Time Warner,stats
f1000_95,Charter Communications,stats
f1000_96,Northwestern Mutual,stats
f1000_97,Facebook,stats
f1000_98,Travelers,stats
f1000_99,Capital One Financial,stats
f1000_100,Twenty-First Century Fox,stats
f1000_101,USAA,stats
f1000_102,World Fuel Services,stats
f1000_103,Philip Morris,stats
f1000_104,Deere,stats
f1000_105,Kraft Heinz,stats
f1000_106,Tech Data,stats
f1000_107,Avnet,stats
f1000_108,Mondelez,stats
f1000_109,Macy's,stats
f1000_110,AbbVie,stats
f1000_111,McDonald's,stats
f1000_112,DuPont,stats
f1000_113,Northrop Grumman,stats
f1000_114,ConocoPhillips,stats
f1000_115,Raytheon,stats
f1000_116,Andeavor,stats
f1000_117,Arrow Electronics,stats
f1000_118,Qualcomm,stats
f1000_119,Progressive,stats
f1000_120,Duke Energy,stats
f1000_121,Enterprise Products Partners,stats
f1000_122,Amgen,stats
f1000_123,US Foods,stats
f1000_124,U.S. Bank,stats
f1000_125,Aflac,stats
f1000_126,Sears,stats
f1000_127,Dollar General,stats
f1000_128,AutoNation,stats
f1000_129,Community Health Systems,stats
f1000_130,Starbucks,stats
f1000_131,Eli Lilly,stats
f1000_132,International Paper,stats
f1000_133,Tenet Healthcare,stats
f1000_134,Abbott Laboratories,stats
f1000_135,Dollar Tree,stats
f1000_136,Whirlpool,stats
f1000_137,Southwest Airlines,stats
f1000_138,Emerson Electric,stats
f1000_139,Staples,stats
f1000_140,Plains GP,stats
f1000_141,Penske Automotive,stats
f1000_142,Union Pacific,stats
f1000_143,Danaher,stats
f1000_144,Southern,stats
f1000_145,ManpowerGroup,stats
f1000_146,Bristol-Myers Squibb,stats
f1000_147,Altria,stats
f1000_148,Fluor,stats
f1000_149,Kohl's,stats
f1000_150,Lear,stats
f1000_151,Jabil,stats
f1000_152,Hartford Financial Services,stats
f1000_153,Thermo Fisher Scientific,stats
f1000_154,Kimberly-Clark,stats
f1000_155,Molina Healthcare,stats
f1000_156,PG&E,stats
