cid,list_id,company,position,office,office_state,job_type
c01,f1000_93,3M,HR Workforce Analytics Data Scientist,Maplewood,MN,quant
c02,f1000_134,Abbott Laboratories,Senior Manager - Data Analytics,Columbus,OH,quant
c03,vault_109,Accenture,Guidewire Business Analyst,New York,NY,mba
c04,forbes_48,Acquia,Manager - UX Research,Boston,MA,quant
c05,f1000_42,Aetna,Lead Data Scientist - 54594BR,Hartford,CT,quant
c06,f1000_125,Aflac,Head of Quantitative Risk,New York,NY,quant
c07,f1000_955,Alliance,Healthcare Data Analyst,Oakland,CA,quant
c08,f1000_83,Allstate,Experienced Quantitative Analyst - Insurance Modeling,Chicago,IL,quant
c09,f1000_285,Ally Financial,Data Scientist,Charlotte,NC,quant
c10,vault_119,Alvarez & Marsal,Systems Analyst,New York,NY,mba
c11,f1000_11,Amazon,Data Scientist,Seattle,WA,quant
c12,f1000_85,American Express,Analyst-Compliance - Financial Crimes Research Scientist,New York,NY,quant
c13,f1000_964,American Greetings,Quantitative Analyst I,Westlake,OH,quant
c14,f1000_122,Amgen,Core Data Scientist,Thousand Oaks,CA,quant
c15,vault_118,Analysis,UWSD18-406 Financial Analyst II,Pensacola,FL,mba
c16,f1000_2,Apple,Data Analyst,Austin,TX,quant
c17,nasdaq_TEAM,Atlassian,Program Manager for Data Center Customer Retention,San Francisco,CA,quant
c18,vault_101,Bain & Company,Agile Project Manager,Boston,MA,mba
c19,vault_185,Baird,Financial Analyst - FP&A,Milwaukee,WI,mba
c20,f1000_25,Bank of America,Quantitative Analyst II,Charlotte,NC,quant
c21,f1000_224,Becton Dickinson,Senior Manager Data Science,San Diego,CA,quant
c22,f1000_254,BlackRock,Index and Data Relationship Manager,New York,NY,quant
c23,glassdoor_91,Blizzard Entertainment,Analyst - Business Data Platform,Irvine,CA,quant
c24,f1000_23,Boeing,Corporate Citizenship Data Analyst,Chicago,IL,quant
c25,f1000_480,Booz Allen Hamilton,Data Analyst - Mid,Buckley AFB,CO,quant
c26,vault_199,Brown Brothers Harriman,Finance Business Analyst II,New York,NY,mba
c27,f1000_614,CACI,Sr Navy/USMC AIS Analyst,San Diego,CA,quant
c28,f1000_213,CBRE,Data Analyst,Cincinnati,OH,quant
c29,f1000_549,CIT,VP - Quantitative Liquidity Management,Pasadena,CA,quant
c30,f1000_6,CVS Health,Analytics - Data Engineer,Woonsocket,RI,quant
c31,nasdaq_CARG,CarGurus,Senior Product Data Analyst,Cambridge,MA,quant
c32,f1000_173,CarMax,Sr Data Scientist,Richmond,VA,quant
c33,nasdaq_CSLT,Castlight Health,Data Engineer,San Francisco,CA,quant
c34,glassdoor_90,Cengage,Associate Research Manager,Boston,MA,quant
c35,f1000_65,Centene,Data Scientist III,Arlington,VA,quant
c36,f1000_159,CenturyLink,Director Data Sciences and Analytics,Broomfield,CO,quant
c37,f1000_356,Charles Schwab,Quantitative Analyst/Senior Quantitative Analyst,Chicago,IL,quant
c38,f1000_651,Church & Dwight,Senior Manager - Market Research,Ewing,NJ,quant
c39,vault_123,ClearView Healthcare Partners,Life Sciences Strategy Analyst,Newton,MA,mba
