list_id,company,job_type
f1000_0,Walmart,mba
f1000_1,Geico,mba
f1000_2,Apple,mba
f1000_3,ExxonMobil,mba
f1000_4,McKesson,mba
f1000_5,UnitedHealth,mba
f1000_6,CVS Health,mba
f1000_7,General Motors,mba
f1000_8,AT&T,mba
f1000_9,Ford Motor,mba
f1000_10,AmerisourceBergen,mba
f1000_11,Amazon,mba
f1000_12,General Electric,mba
f1000_13,Verizon Communications,mba
f1000_14,Cardinal Health,mba
f1000_15,Costco,mba
f1000_16,Walgreens,mba
f1000_17,Kroger,mba
f1000_18,Chevron,mba
f1000_19,Fannie Mae,mba
f1000_20,J.P. Morgan Chase,mba
f1000_21,Express Scripts,mba
f1000_22,Home Depot,mba
f1000_23,Boeing,mba
f1000_24,Wells Fargo,mba
f1000_25,Bank of America,mba
f1000_26,Alphabet,mba
f1000_27,Microsoft,mba
f1000_28,Anthem,mba
f1000_29,Citigroup,mba
f1000_30,Comcast,mba
f1000_31,IBM,mba
f1000_32,State Farm Insurance,mba
f1000_33,Phillips 66,mba
f1000_34,Johnson & Johnson,mba
f1000_35,Procter & Gamble,mba
f1000_36,Valero Energy,mba
f1000_37,Target,mba
f1000_38,Freddie Mac,mba
f1000_39,Lowe's,mba
f1000_40,Dell Technologies,mba
f1000_41,MetLife,mba
f1000_42,Aetna,mba
f1000_43,PepsiCo,mba
f1000_44,Archer Daniels Midland,mba
f1000_45,UPS,mba
f1000_46,Intel,mba
f1000_47,Prudential Financial,mba
f1000_48,Albertsons,mba
f1000_49,United Technologies,mba
f1000_50,Marathon Petroleum,mba
f1000_51,Disney,mba
f1000_52,Humana,mba
f1000_53,Pfizer,mba
f1000_54,AIG,mba
f1000_55,Lockheed Martin,mba
f1000_56,Sysco,mba
f1000_57,FedEx,mba
f1000_58,Hewlett Packard Enterprise,mba
f1000_59,Cisco Systems,mba
f1000_60,HP,mba
f1000_61,Dow Chemical,mba
f1000_62,HCA,mba
f1000_63,Coca-Cola,mba
f1000_64,New York Life Insurance,mba
f1000_65,Centene,mba
f1000_66,American Airlines,mba
f1000_67,Nationwide,mba
f1000_68,Merck,mba
f1000_69,Cigna,mba
f1000_70,Delta Air Lines,mba
f1000_71,Best Buy,mba
f1000_72,Honeywell,mba
f1000_73,Caterpillar,mba
f1000_74,Liberty Mutual Insurance,mba
f1000_75,Morgan Stanley,mba
f1000_76,Massachusetts Mutual Life Insurance,mba
f1000_77,Goldman Sachs,mba
f1000_78,Energy Transfer Equity,mba
f1000_79,TIAA,mba
f1000_80,Oracle,mba
f1000_81,Tyson Foods,mba
f1000_82,United Continental,mba
f1000_83,Allstate,mba
f1000_84,Publix Super Markets,mba
f1000_85,American Express,mba
f1000_86,TJX,mba
f1000_87,Nike,mba
f1000_88,Exelon,mba
f1000_89,General Dynamics,mba
f1000_90,Rite Aid,mba
f1000_91,Gilead Sciences,mba
f1000_92,CHS,mba
f1000_93,3M,mba
f1000_94,Time Warner,mba
f1000_95,Charter Communications,mba
f1000_96,Northwestern Mutual,mba
f1000_97,Facebook,mba
f1000_98,Travelers,mba
f1000_99,Capital One Financial,mba
f1000_100,Twenty-First Century Fox,mba
f1000_101,USAA,mba
f1000_102,World Fuel Services,mba
f1000_103,Philip Morris,mba
f1000_104,Deere,mba
f1000_105,Kraft Heinz,mba
f1000_106,Tech Data,mba
f1000_107,Avnet,mba
f1000_108,Mondelez,mba
f1000_109,Macy's,mba
f1000_110,AbbVie,mba
f1000_111,McDonald's,mba
f1000_112,DuPont,mba
f1000_113,Northrop Grumman,mba
f1000_114,ConocoPhillips,mba
f1000_115,Raytheon,mba
f1000_116,Andeavor,mba
f1000_117,Arrow Electronics,mba
f1000_118,Qualcomm,mba
f1000_119,Progressive,mba
f1000_120,Duke Energy,mba
f1000_121,Enterprise Products Partners,mba
f1000_122,Amgen,mba
f1000_123,US Foods,mba
f1000_124,U.S. Bank,mba
f1000_125,Aflac,mba
f1000_126,Sears,mba
f1000_127,Dollar General,mba
f1000_128,AutoNation,mba
f1000_129,Community Health Systems,mba
f1000_130,Starbucks,mba
f1000_131,Eli Lilly,mba
f1000_132,International Paper,mba
f1000_133,Tenet Healthcare,mba
f1000_134,Abbott Laboratories,mba
f1000_135,Dollar Tree,mba
f1000_136,Whirlpool,mba
f1000_137,Southwest Airlines,mba
f1000_138,Emerson Electric,mba
f1000_139,Staples,mba
f1000_140,Plains GP,mba
f1000_141,Penske Automotive,mba
f1000_142,Union Pacific,mba
f1000_143,Danaher,mba
