web_company,job,location,job_keyword,job_type,qry_company,list_id,keywords,backup_keys,company,cid_match,maybe_cid_match,cid_match_count,maybe_cid_match_count,internship,ideal_job,ideal_count,bkup_job,bkup_count,clean_location,is_ctyst,office,office_state,position,job_descr_len,rank
Fifth Third Bank,Quant Analyst II.,"Chicago, IL 60601 (Loop area)",statistics,stats,Fifth Third Bank,f1000_388,"['statistics', 'statistical analyst', 'statistician']","['research', 'scientist', 'survey', 'methodologist', 'quant']",Fifth Third Bank,True,False,12.0,0.0,False,False,0.0,True,6.0,"Chicago, IL",True,Chicago,IL,Quant Analyst II,17,1.0
First Republic Bank,Quantitative Risk Analyst,"San Francisco, CA 94104 (Financial District area)",statistical analyst,stats,First Republic Bank,f1000_841,"['statistics', 'statistical analyst', 'statistician']","['research', 'scientist', 'survey', 'methodologist', 'quant']",First Republic Bank,True,False,17.0,0.0,False,False,0.0,True,5.0,"San Francisco, CA",True,San Francisco,CA,Quantitative Risk Analyst,25,1.0
"Fiserv, Inc.","Project Research, Analyst","Brookfield, WI 53045",statistics,stats,Fiserv,f1000_470,"['statistics', 'statistical analyst', 'statistician']","['research', 'scientist', 'survey', 'methodologist', 'quant']",Fiserv Inc ,False,True,3.0,7.0,False,False,0.0,True,4.0,"Brookfield, WI",True,Brookfield,WI,Project Research - Analyst,25,1.0
Fiserv,Research Project Manager,"Brookfield, WI 53008",statistics,stats,Fiserv,f1000_470,"['statistics', 'statistical analyst', 'statistician']","['research', 'scientist', 'survey', 'methodologist', 'quant']",Fiserv,True,False,3.0,7.0,False,False,0.0,True,4.0,"Brookfield, WI",True,Brookfield,WI,Research Project Manager,24,1.0
Ford Motor Company,Statistician / Business Intelligence Scientist,"Dearborn, MI 48126",statistics,stats,Ford Motor,f1000_9,"['statistics', 'statistical analyst', 'statistician']","['research', 'scientist', 'survey', 'methodologist', 'quant']",Ford Motor Company,False,True,0.0,14.0,False,True,4.0,False,6.0,"Dearborn, MI",True,Dearborn,MI,Statistician / Business Intelligence Scientist,46,1.0
Fox Rothschild LLP,Land Use Associate,"New York, NY 10017 (Midtown area)",associate,consultant,Fox Rothschild,vault_87,"['associate', 'consultant']","['associate', 'consultant']",Fox Rothschild LLP,False,True,0.0,8.0,False,True,7.0,False,0.0,"New York, NY",True,New York,NY,Land Use Associate,18,1.0
Freddie Mac,Senior Data Scientist,"McLean, VA 22102",statistics,stats,Freddie Mac,f1000_38,"['statistics', 'statistical analyst', 'statistician']","['research', 'scientist', 'survey', 'methodologist', 'quant']",Freddie Mac,True,False,12.0,0.0,False,False,0.0,True,7.0,"McLean, VA",True,McLean,VA,Senior Data Scientist,21,1.0
Greenville Neuromodulation Center (GNC),Computer Scientist/Software Engineer,"Greenville, PA",statistics,stats,GNC,f1000_796,"['statistics', 'statistical analyst', 'statistician']","['research', 'scientist', 'survey', 'methodologist', 'quant']",Greenville Neuromodulation Center GNC ,False,True,0.0,2.0,False,False,0.0,True,1.0,"Greenville, PA",True,Greenville,PA,Computer Scientist/Software Engineer,36,1.0
"GAP Solutions, Inc.",IT Scientific Program Analyst (Division of Extramural Activities),"Rockville, MD 20852",statistical analyst,stats,Gap,f1000_177,"['statistics', 'statistical analyst', 'statistician']","['research', 'scientist', 'survey', 'methodologist', 'quant']",GAP Solutions Inc ,False,True,1.0,9.0,False,False,0.0,True,1.0,"Rockville, MD",True,Rockville,MD,IT Scientific Program Analyst,65,1.0
Gartner,Associate Data Scientist,"Arlington, VA",statistics,stats,Gartner,f1000_820,"['statistics', 'statistical analyst', 'statistician']","['research', 'scientist', 'survey', 'methodologist', 'quant']",Gartner,True,False,13.0,0.0,False,False,0.0,True,7.0,"Arlington, VA",True,Arlington,VA,Associate Data Scientist,24,1.0
GEICO,Data Scientist,"Chevy Chase, MD",statistics,stats,Geico,f1000_1,"['statistics', 'statistical analyst', 'statistician']","['research', 'scientist', 'survey', 'methodologist', 'quant']",Geico,True,False,12.0,0.0,False,False,0.0,True,1.0,"Chevy Chase, MD",True,Chevy Chase,MD,Data Scientist,14,1.0
General Electric,Data Scientist,"Washington, DC 20001 (Shaw area)",statistics,stats,General Electric,f1000_12,"['statistics', 'statistical analyst', 'statistician']","['research', 'scientist', 'survey', 'methodologist', 'quant']",General Electric,True,False,17.0,0.0,False,False,0.0,True,6.0,"Washington, DC",True,Washington,DC,Data Scientist,14,1.0
Gilead Sciences,Clinical Data Scientist,"Foster City, CA 94404",statistics,stats,Gilead Sciences,f1000_91,"['statistics', 'statistical analyst', 'statistician']","['research', 'scientist', 'survey', 'methodologist', 'quant']",Gilead Sciences,True,False,6.0,0.0,False,False,0.0,True,4.0,"Foster City, CA",True,Foster City,CA,Clinical Data Scientist,23,1.0
Goldman Sachs,FICC - Commodities - Quantitative Sales Strategist,"New York, NY 10282 (Tribeca area)",statistics,stats,Goldman Sachs,f1000_77,"['statistics', 'statistical analyst', 'statistician']","['research', 'scientist', 'survey', 'methodologist', 'quant']",Goldman Sachs,True,False,17.0,0.0,False,False,0.0,True,3.0,"New York, NY",True,New York,NY,FICC - Commodities - Quantitative Sales Strategist,50,1.0
Goodwin Procter LLP,Public M&A Associate,"Boston, MA",associate,consultant,Goodwin Procter,vault_44,"['associate', 'consultant']","['associate', 'consultant']",Goodwin Procter LLP,False,True,0.0,9.0,False,True,8.0,False,0.0,"Boston, MA",True,Boston,MA,Public M&A Associate,20,1.0
Google,"Sampling Statistician, CX Lab","Mountain View, CA",statistics,stats,Google,glassdoor_57,"['statistics', 'statistical analyst', 'statistician']","['research', 'scientist', 'survey', 'methodologist', 'quant']",Google,True,False,23.0,0.0,False,True,2.0,False,11.0,"Mountain View, CA",True,Mountain View,CA,Sampling Statistician - CX Lab,29,1.0
Grand Rounds,Senior Data Scientist,"San Francisco, CA 94107 (South Of Market area)",statistics,stats,Grand Rounds,glassdoor_17,"['statistics', 'statistical analyst', 'statistician']","['research', 'scientist', 'survey', 'methodologist', 'quant']",Grand Rounds,True,False,4.0,0.0,False,False,0.0,True,1.0,"San Francisco, CA",True,San Francisco,CA,Senior Data Scientist,21,1.0
Grant Thornton,"348_Tax_WNTO_Tax Statistician Associate, WNTO National Tax Standards Group","Washington, DC 20036 (Downtown area)",statistics,stats,Grant Thornton,vault_205,"['statistics', 'statistical analyst', 'statistician']","['research', 'scientist', 'survey', 'methodologist', 'quant']",Grant Thornton,True,False,17.0,0.0,False,True,1.0,False,5.0,"Washington, DC",True,Washington,DC,348 Tax WNTO Tax Statistician Associate - WNTO National Tax Standards Group,74,1.0
